Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	PDB	Taxonomic lineage	Taxonomic lineage (Ids)	Organism (ID)
A0A0E3NFL3	unreviewed	A0A0E3NFL3_METTE	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSTHC_1408	Methanosarcina thermophila CHTI-55	728	A0A0E3NFL3;		Methanosarcina thermophila (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2210 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434121
A0A0E3NMN2	unreviewed	A0A0E3NMN2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSWHS_3349	Methanosarcina sp. WWM596	714	A0A0E3NMN2;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434103
A0A0E3P9K5	unreviewed	A0A0E3P9K5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSSIT_3963	Methanosarcina siciliae T4/M	714	A0A0E3P9K5;		Methanosarcina siciliae (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38027 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434120
A0A0E3PIA9	unreviewed	A0A0E3PIA9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSSIH_3893	Methanosarcina siciliae HI350	714	A0A0E3PIA9;		Methanosarcina siciliae (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38027 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434119
A0A0E3PTW3	unreviewed	A0A0E3PTW3_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSSAC_4392	Methanosarcina siciliae C2J	714	A0A0E3PTW3;		Methanosarcina siciliae (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38027 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434118
A0A0E3Q1R0	unreviewed	A0A0E3Q1R0_METMZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSMAW_3218	Methanosarcina mazei WWM610	714	A0A0E3Q1R0;		Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434117
A0A0E3QHI3	unreviewed	A0A0E3QHI3_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSKOL_3445	Methanosarcina sp. Kolksee	713	A0A0E3QHI3;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434099
A0A0E3QQK3	unreviewed	A0A0E3QQK3_METBA	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSBRW_3529	Methanosarcina barkeri str. Wiesmoor	712	A0A0E3QQK3;		Methanosarcina barkeri (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2208 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434109
A0A0E3QZL0	unreviewed	A0A0E3QZL0_METBA	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSBRM_3457	Methanosarcina barkeri MS	713	A0A0E3QZL0;		Methanosarcina barkeri (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2208 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434108
A0A0E3RGB2	unreviewed	A0A0E3RGB2_METMZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSMAP_3152	Methanosarcina mazei SarPi	714	A0A0E3RGB2;		Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434115
A0A0E3RJQ9	unreviewed	A0A0E3RJQ9_METMZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSMAS_3287	Methanosarcina mazei S-6	714	A0A0E3RJQ9;		Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	213585
A0A0E3RSC8	unreviewed	A0A0E3RSC8_METMZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSMAL_3288	Methanosarcina mazei LYC	714	A0A0E3RSC8;		Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434114
A0A0E3S9V2	unreviewed	A0A0E3S9V2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSLAZ_3146	Methanosarcina lacustris Z-7289	714	A0A0E3S9V2;		Methanosarcina lacustris (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	170861 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434111
A0A0E3SED0	unreviewed	A0A0E3SED0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSHOH_4036	Methanosarcina horonobensis HB-1 = JCM 15518	732	A0A0E3SED0;		Methanosarcina horonobensis (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	418008 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434110
A0A0E3SPZ2	unreviewed	A0A0E3SPZ2_METBA	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSBR3_3415	Methanosarcina barkeri 3	728	A0A0E3SPZ2;		Methanosarcina barkeri (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2208 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434107
A0A0E3WQP5	unreviewed	A0A0E3WQP5_METMZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSMAC_3330	Methanosarcina mazei C16	714	A0A0E3WQP5;		Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434113
A0A0F8DRZ0	unreviewed	A0A0F8DRZ0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk EO98_01925	Methanosarcina sp. 2.H.T.1A.6	728	A0A0F8DRZ0;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483599
A0A0F8EDQ4	unreviewed	A0A0F8EDQ4_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk EO92_17420	Methanosarcina sp. 2.H.A.1B.4	728	A0A0F8EDQ4;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483600
A0A0F8FBC4	unreviewed	A0A0F8FBC4_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk EO94_17540	Methanosarcina sp. 2.H.T.1A.3	728	A0A0F8FBC4;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483597
A0A0F8FMX2	unreviewed	A0A0F8FMX2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk EO96_03105	Methanosarcina sp. 2.H.T.1A.8	728	A0A0F8FMX2;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483598
A0A0F8FXM4	unreviewed	A0A0F8FXM4_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk EO97_19410	Methanosarcina sp. 2.H.T.1A.15	728	A0A0F8FXM4;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483596
A0A0F8QMM7	unreviewed	A0A0F8QMM7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk EO93_09485	Methanosarcina sp. 1.H.A.2.2	728	A0A0F8QMM7;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483601
A0A0F8RZW1	unreviewed	A0A0F8RZW1_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk EO95_09205	Methanosarcina sp. 1.H.T.1A.1	728	A0A0F8RZW1;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483602
A0A0F8TAL4	unreviewed	A0A0F8TAL4_METMZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DU30_01775 DU31_19110 DU33_08825 DU34_07765 DU35_13610 DU36_09060 DU37_10030 DU38_07530 DU39_09005 DU40_13265 DU41_08630 DU42_02890 DU43_17210 DU44_03500 DU45_07800 DU46_07425 DU47_10145 DU48_19785 DU49_08835 DU50_16750 DU51_10035 DU52_06605 DU54_20025 DU55_19095 DU56_08465 DU57_03770 DU58_16385 DU59_00035 DU60_08970 DU61_06580 DU62_07410 DU63_08270 DU64_06585 DU65_08775 DU66_08050 DU67_05360 DU68_08305 DU69_06825 DU71_13760 DU72_02245 DU73_18175 DU74_04650 DU75_15910 DU76_19505 DU77_01255 DU78_15195 DU79_15020 DU80_04205 DU81_00460 DU82_01735 DU83_02805 DU84_00510 DU85_09130 DU86_18130 DU87_08725 DU88_01095	Methanosarcina mazei (Methanosarcina frisia)	728	A0A0F8TAL4;		Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2209
A0A0G3CKX5	unreviewed	A0A0G3CKX5_METBA	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MCM1_3605	Methanosarcina barkeri CM1	728	A0A0G3CKX5;		Methanosarcina barkeri (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2208 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	796385
A0A0K1IT52	unreviewed	A0A0K1IT52_HALGI	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk ABY42_08045	Haloferax gibbonsii	854	A0A0K1IT52;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	35746
A0A0K1IWC8	unreviewed	A0A0K1IWC8_HALGI	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk ABY42_13040	Haloferax gibbonsii	756	A0A0K1IWC8;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	35746
A0A0N0BS38	unreviewed	A0A0N0BS38_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk AMR74_01955	Halorubrum tropicale	763	A0A0N0BS38;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1765655
A0A0P7I2X6	unreviewed	A0A0P7I2X6_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk SY89_02001	Halolamina pelagica	782	A0A0P7I2X6;		Halolamina (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1075397 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	699431
A0A0Q4BE65	unreviewed	A0A0Q4BE65_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk AOA81_00225	Methanomassiliicoccales archaeon RumEn M2	690	A0A0Q4BE65;		unclassified Methanomassiliicoccales (no rank), Methanomassiliicoccales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1577790 (no rank), 1235850 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	1713725
A0A0Q4BE72	unreviewed	A0A0Q4BE72_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk AOA80_09850	Methanomassiliicoccales archaeon RumEn M1	705	A0A0Q4BE72;		unclassified Methanomassiliicoccales (no rank), Methanomassiliicoccales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1577790 (no rank), 1235850 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	1713724
A0A0W1R7Y9	unreviewed	A0A0W1R7Y9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk AUR64_15525	Haloprofundus marisrubri	730	A0A0W1R7Y9;		Haloprofundus (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1911573 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1514971
