accession	alntmscore	Organism	Taxonomic.lineage
A0A840BEJ9	0.9887	Niveibacterium umoris	Niveibacterium (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G3HRD6	0.9901	Rhodocyclales bacterium GWA2_65_20	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A497XER0	0.9877	Sulfurisoma sediminicola	Sulfurisoma (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y8J9W3	0.9894	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1N6TQE0	0.9879	Aromatoleum tolulyticum	Aromatoleum (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
H0PSW7	0.9867	Azoarcus sp. KH32C	unclassified Azoarcus (no rank), Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A323UR65	0.9893	Parazoarcus communis SWub3 = DSM 12120	Parazoarcus communis (species), Parazoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
N6Y8Q4	0.9859	Thauera linaloolentis (strain DSM 12138 / CCUG 41526 / CIP 105981 / IAM 15112 / NBRC 102519 / 47Lol)	Thauera linaloolentis (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A290ZMG8	0.9841	Thauera sp. K11	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5Q4Z7I2	0.9863	Sideroxydans sp. CL21	unclassified Sideroxydans (no rank), Sideroxydans (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q5NYK9	0.9827	Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1))	Aromatoleum aromaticum (species), Aromatoleum (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
F5R919	0.9918	Methyloversatilis universalis (strain ATCC BAA-1314 / JCM 13912 / FAM5)	Methyloversatilis universalis (species), Methyloversatilis (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A558CWJ5	0.986	Azoarcus sp. PHD	unclassified Azoarcus (no rank), Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2U8H5Z8	0.9899	Parazoarcus communis	Parazoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2UQ65	0.9842	Betaproteobacteria bacterium HGW-Betaproteobacteria-13	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2W6WK79	0.9913	Thauera sp	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A849IHD1	0.9868	Burkholderiales bacterium	unclassified Burkholderiales (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2U8GNM4	0.9827	Parazoarcus communis	Parazoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
W0SEP2	0.9792	Sulfuritalea hydrogenivorans sk43H	Sulfuritalea hydrogenivorans (species), Sulfuritalea (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2UTS1	0.9869	Betaproteobacteria bacterium HGW-Betaproteobacteria-11	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C7JID6	0.9856	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H5YRW8	0.9855	Thauera chlorobenzoica	Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2R4BNQ1	0.985	Thauera aromatica K172	Thauera aromatica (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
D5CQF4	0.9858	Sideroxydans lithotrophicus (strain ES-1)	Sideroxydans lithotrophicus (species), Sideroxydans (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1B3LMJ2	0.9849	Methyloversatilis sp. RAC08	unclassified Methyloversatilis (no rank), Methyloversatilis (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A401JEC7	0.9871	Sulfuriferula multivorans	Sulfuriferula (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G0D8H2	0.9866	Gallionellales bacterium RIFCSPLOWO2_02_FULL_57_47	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G0ED52	0.9863	Gallionellales bacterium RIFCSPHIGHO2_02_FULL_57_16	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2T5JZU3	0.9815	Nitrosospira sp. Nsp2	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A838LTB0	0.9903	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I2XP22	0.9849	Nitrosospira sp. Nsp14	unclassified Nitrosospira (no rank), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6N7B7K1	0.9864	Gallionellaceae bacterium	unclassified Gallionellaceae (no rank), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F3X4B7	0.9897	Betaproteobacteria bacterium RBG_16_58_11	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4R3YE42	0.9888	Sulfurirhabdus autotrophica	Sulfurirhabdus (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A286C2G8	0.9811	Nitrosovibrio sp. Nv4	unclassified Nitrosovibrio (no rank), Nitrosovibrio (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
T0B2Y3	0.9869	Thauera terpenica 58Eu	Thauera terpenica (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7X7LU39	0.9881	Thauera phenolivorans	Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G0AVT4	0.9868	Gallionellales bacterium GWA2_54_124	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3D2H995	0.9867	Gallionella sp	unclassified Gallionella (no rank), Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A521Q8U9	0.9861	Gallionellaceae bacterium	unclassified Gallionellaceae (no rank), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G0BFR9	0.9878	Gallionellales bacterium GWA2_60_142	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
D9SE34	0.9865	Gallionella capsiferriformans (strain ES-2) (Gallionella ferruginea capsiferriformans (strain ES-2))	Gallionella capsiferriformans (species), Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
