accession	seqid	alntmscore	Taxonomic.lineage	Organism	Phylum	LeidenCluster	tSNE1	tSNE2	info
A0A1A8XYG3	0.871	0.9752	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter aalborgensis	Pseudomonadota	LC32	93.71878	-16.176939	LC32_cluster
C7RQP9	0.876	0.9853	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Accumulibacter regalis	Pseudomonadota	LC32	93.169304	-16.16552	LC32_cluster
A0A1Q3VW29	0.803	0.9814	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter sp. 66-26	Pseudomonadota	LC32	102.20189	-16.72926	LC32_cluster
A0A840GDM4	0.805	0.9845	Rhodocyclus (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclus tenuis (Rhodospirillum tenue)	Pseudomonadota	NA	NA	NA	NA
A0A6L5JT34	0.802	0.9898	Rhodocyclus (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclus tenuis (Rhodospirillum tenue)	Pseudomonadota	LC32	99.478386	-17.336128	LC32_cluster
A0A1A8XRW0	0.799	0.9918	Propionivibrio (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Propionivibrio aalborgensis	Pseudomonadota	NA	NA	NA	NA
A0A1G8LT95	0.773	0.9929	Propionivibrio (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Propionivibrio dicarboxylicus	Pseudomonadota	NA	NA	NA	NA
A0A5C7K5X1	0.77	0.9797	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	NA	NA	NA	NA
G8QFP0	0.759	0.9957	Azospira oryzae (species), Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azospira oryzae (strain ATCC BAA-33 / DSM 13638 / PS) (Dechlorosoma suillum)	Pseudomonadota	LC32	94.82936	-16.070562	LC32_cluster
A0A3B7A437	0.747	0.9899	unclassified Dechloromonas (no rank), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dechloromonas sp. HYN0024	Pseudomonadota	NA	NA	NA	NA
A0A5C1E9K9	0.751	0.9894	Oryzomicrobium (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oryzomicrobium terrae	Pseudomonadota	LC32	95.45081	-16.91147	LC32_cluster
A0A2R5EGJ8	0.754	0.9917	unclassified Azospira (no rank), Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azospira sp. I13	Pseudomonadota	LC32	97.155876	-16.543402	LC32_cluster
A0A5H2Y3C5	0.75	0.9964	unclassified Azospira (no rank), Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azospira sp. I09	Pseudomonadota	LC32	101.36224	-16.46076	LC32_cluster
A0A2N2V0Z9	0.746	0.9915	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium HGW-Betaproteobacteria-12	Pseudomonadota	NA	NA	NA	NA
Q47C77	0.749	0.987	Dechloromonas aromatica (species), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dechloromonas aromatica (strain RCB)	Pseudomonadota	NA	NA	NA	NA
A0A833LU91	0.746	0.9916	unclassified Dechloromonas (no rank), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dechloromonas sp	Pseudomonadota	NA	NA	NA	NA
A0A533SYY8	0.748	0.9963	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium	Pseudomonadota	LC32	94.738976	-16.083809	LC32_cluster
A0A1R1I791	0.743	0.9909	Azonexus (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azonexus hydrophilus	Pseudomonadota	NA	NA	NA	NA
A0A3L6LUQ7	0.74	0.9907	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclales bacterium GT-UBC	Pseudomonadota	NA	NA	NA	NA
A0A2N2QV09	0.739	0.9916	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium HGW-Betaproteobacteria-7	Pseudomonadota	NA	NA	NA	NA
A0A524BE95	0.739	0.9907	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A133XE01	0.731	0.991	Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dechloromonas denitrificans	Pseudomonadota	NA	NA	NA	NA
A0A5C7ZXV9	0.736	0.9896	unclassified Dechloromonas (no rank), Dechloromonas (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dechloromonas sp	Pseudomonadota	NA	NA	NA	NA
A0A2N2VBM5	0.734	0.9891	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium HGW-Betaproteobacteria-10	Pseudomonadota	NA	NA	NA	NA
A0A495WJZ8	0.736	0.9888	Azonexus (genus), Azonexaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azonexus fungiphilus	Pseudomonadota	NA	NA	NA	NA
A0A7C6PIM3	0.724	0.9889	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A7R6TNI6	0.706	0.9917	Fluviibacter (genus), Fluviibacteraceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Fluviibacter phosphoraccumulans	Pseudomonadota	NA	NA	NA	NA
A0A1V5QTK4	0.703	0.9847	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium ADurb.Bin341	Pseudomonadota	NA	NA	NA	NA
A0A4S4B0V6	0.702	0.9863	Pseudothauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudothauera nasutitermitis	Pseudomonadota	NA	NA	NA	NA
A0A2N2TWQ7	0.707	0.9878	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium HGW-Betaproteobacteria-14	Pseudomonadota	LC32	94.940315	-16.983448	LC32_cluster
A0A2T4IJQ6	0.705	0.9899	Pseudothauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudothauera lacus	Pseudomonadota	NA	NA	NA	NA
A0A1V5FD42	0.697	0.9881	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria bacterium ADurb.BinA305	Pseudomonadota	NA	NA	NA	NA
C4ZK27	0.697	0.9866	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera sp. (strain MZ1T)	Pseudomonadota	NA	NA	NA	NA
N6Y1H6	0.697	0.9873	Thauera aminoaromatica (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera aminoaromatica S2	Pseudomonadota	NA	NA	NA	NA
A0A6L4B972	0.698	0.9817	unclassified Zoogloea (no rank), Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Zoogloea sp	Pseudomonadota	NA	NA	NA	NA
A0A0C3IZ21	0.699	0.9855	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera sp. SWB20	Pseudomonadota	NA	NA	NA	NA
A0A4Y4CMH8	0.695	0.9757	Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Zoogloea ramigera	Pseudomonadota	NA	NA	NA	NA
A0A363SQ46	0.702	0.9777	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclales bacterium	Pseudomonadota	NA	NA	NA	NA
A0A011QT80	0.871	0.9917	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter sp. BA-94	Pseudomonadota	LC32	92.20779	-15.903158	LC32_cluster
A0A2K9LAE2	0.692	0.9869	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	NA	NA	NA	NA
N6YDL5	0.69	0.9869	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera sp. 63	Pseudomonadota	NA	NA	NA	NA
A0A2S0QW88	0.692	0.9813	unclassified Zoogloeaceae (no rank), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Zoogloeaceae bacteirum Par-f-2	Pseudomonadota	NA	NA	NA	NA
A0A6L4YFJ7	0.705	0.9872	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A4Y6KT54	0.69	0.9877	unclassified Azoarcus (no rank), Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azoarcus sp. DD4	Pseudomonadota	NA	NA	NA	NA
A0A1G3HE67	0.7	0.9824	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclales bacterium GWA2_65_19	Pseudomonadota	NA	NA	NA	NA
A0A3F3GC04	0.69	0.9825	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera sp. 28	Pseudomonadota	NA	NA	NA	NA
A0A127K2T7	0.689	0.986	Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera humireducens	Pseudomonadota	NA	NA	NA	NA
A0A521HTI7	0.691	0.9778	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
N6YIJ8	0.69	0.9836	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera sp. 27	Pseudomonadota	NA	NA	NA	NA
A1K651	0.693	0.9875	Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azoarcus sp. (strain BH72)	Pseudomonadota	NA	NA	NA	NA
N6YW63	0.688	0.9864	Thauera phenylacetica (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera phenylacetica B4P	Pseudomonadota	NA	NA	NA	NA
A0A6C2CXQ2	0.691	0.9845	Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Zoogloea oleivorans	Pseudomonadota	NA	NA	NA	NA
A0A848FZJ0	0.693	0.9797	Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Zoogloea dura	Pseudomonadota	NA	NA	NA	NA
A0A2W5K087	0.695	0.9763	Azospira (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azospira oryzae	Pseudomonadota	NA	NA	NA	NA
A0A5C7F1R0	0.695	0.9767	Pelomicrobium (genus), Hydrogenophilalia incertae sedis (no rank), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pelomicrobium methylotrophicum	Pseudomonadota	NA	NA	NA	NA
A0A3S0CBE1	0.693	0.9858	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A1G3HP26	0.708	0.9825	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24	Pseudomonadota	NA	NA	NA	NA
A0A5C7KNH6	0.689	0.9822	unclassified Zoogloea (no rank), Zoogloea (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Zoogloea sp	Pseudomonadota	NA	NA	NA	NA
A0A4V3BNS4	0.693	0.985	Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azoarcus indigens	Pseudomonadota	NA	NA	NA	NA
A0A235EZU5	0.682	0.9841	Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera propionica	Pseudomonadota	NA	NA	NA	NA
A0A4S4AVC9	0.704	0.9855	Pseudothauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudothauera rhizosphaerae	Pseudomonadota	NA	NA	NA	NA
A0A7V7XN73	0.695	0.9853	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	LC32	97.45687	-16.03726	LC32_cluster
A0A840BEJ9	0.688	0.9887	Niveibacterium (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Niveibacterium umoris	Pseudomonadota	LC32	101.66493	-16.96234	LC32_cluster
A0A1G3HRD6	0.671	0.9901	unclassified Rhodocyclales (no rank), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclales bacterium GWA2_65_20	Pseudomonadota	NA	NA	NA	NA
A0A497XER0	0.68	0.9877	Sulfurisoma (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Sulfurisoma sediminicola	Pseudomonadota	NA	NA	NA	NA
A0A7Y8J9W3	0.672	0.9894	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodocyclaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A1N6TQE0	0.699	0.9879	Aromatoleum (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Aromatoleum tolulyticum	Pseudomonadota	NA	NA	NA	NA
H0PSW7	0.688	0.9867	unclassified Azoarcus (no rank), Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azoarcus sp. KH32C	Pseudomonadota	NA	NA	NA	NA
A0A323UR65	0.686	0.9893	Parazoarcus communis (species), Parazoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Parazoarcus communis SWub3 = DSM 12120	Pseudomonadota	NA	NA	NA	NA
N6Y8Q4	0.682	0.9859	Thauera linaloolentis (species), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera linaloolentis (strain DSM 12138 / CCUG 41526 / CIP 105981 / IAM 15112 / NBRC 102519 / 47Lol)	Pseudomonadota	NA	NA	NA	NA
A0A290ZMG8	0.685	0.9841	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera sp. K11	Pseudomonadota	NA	NA	NA	NA
A0A5Q4Z7I2	0.672	0.9863	unclassified Sideroxydans (no rank), Sideroxydans (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Sideroxydans sp. CL21	Pseudomonadota	NA	NA	NA	NA
Q5NYK9	0.691	0.9827	Aromatoleum aromaticum (species), Aromatoleum (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1))	Pseudomonadota	NA	NA	NA	NA
F5R919	0.674	0.9918	Methyloversatilis universalis (species), Methyloversatilis (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Methyloversatilis universalis (strain ATCC BAA-1314 / JCM 13912 / FAM5)	Pseudomonadota	NA	NA	NA	NA
A0A558CWJ5	0.688	0.986	unclassified Azoarcus (no rank), Azoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Azoarcus sp. PHD	Pseudomonadota	NA	NA	NA	NA
A0A2U8H5Z8	0.691	0.9899	Parazoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Parazoarcus communis	Pseudomonadota	NA	NA	NA	NA
A0A2N2UQ65	0.691	0.9842	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium HGW-Betaproteobacteria-13	Pseudomonadota	NA	NA	NA	NA
A0A2W6WK79	0.67	0.9913	unclassified Thauera (no rank), Thauera (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thauera sp	Pseudomonadota	NA	NA	NA	NA
A0A849IHD1	0.687	0.9868	unclassified Burkholderiales (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Burkholderiales bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2U8GNM4	0.688	0.9827	Parazoarcus (genus), Zoogloeaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Parazoarcus communis	Pseudomonadota	NA	NA	NA	NA
W0SEP2	0.699	0.9792	Sulfuritalea hydrogenivorans (species), Sulfuritalea (genus), Sterolibacteriaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Sulfuritalea hydrogenivorans sk43H	Pseudomonadota	NA	NA	NA	NA
A0A2N2UTS1	0.703	0.9869	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium HGW-Betaproteobacteria-11	Pseudomonadota	NA	NA	NA	NA
