protid	StruCluster
A0A7Z2SHT6	SC01
A0A806ICP3	SC01
A0A806IR78	SC01
A0A837NM21	SC01
A0A837P4Y9	SC01
A0A837RBT0	SC01
A0A843DS49	SC01
A0A8B4YRV2	SC01
D1B3E9	SC01
E2CQB3	SC01
F6IZN2	SC01
G0M2P0	SC01
I3XYD4	SC01
I9L398	SC01
Q88YD2	SC01
R6BVY4	SC01
W4HLN0	SC01
W6TAS6	SC01
A0A0D7KSX0	SC02
A0A016QPG9	SC02
A0A023X0M5	SC02
A0A062XCY4	SC02
A0A069CRL8	SC02
A0A069RYT0	SC02
A0A072NJS8	SC02
A0A076HUS6	SC02
A0A076HYR1	SC02
A0A078M4E9	SC02
A0A085EQ97	SC02
A0A086WEU7	SC02
A0A098QWY0	SC02
A0A0A0M2P6	SC02
A0A0B5QS71	SC02
A0A0C1MCB6	SC02
A0A0C2DIV0	SC02
A0A0C2Z6K2	SC02
A0A0D3LNK7	SC02
A0A0D6XS56	SC02
A0A0E1VBK6	SC02
A0A0E3L7E9	SC02
A0A0E3V806	SC02
A0A0E9LSD9	SC02
A0A0F3RT12	SC02
A0A0F5XD59	SC02
A0A0F7HKJ3	SC02
A0A0F7JT21	SC02
A0A0G8G783	SC02
A0A0J8GGQ2	SC02
A0A0K1JX12	SC02
A0A0K2MET7	SC02
A0A0L0RJT5	SC02
A0A0M2LQ53	SC02
A0A0M2NL97	SC02
A0A0M2SSE4	SC02
A0A0M4UEW8	SC02
A0A0M9DNS8	SC02
A0A0N1EGX6	SC02
A0A0P7BW31	SC02
A0A0P7WHF5	SC02
A0A0Q4BE72	SC02
A0A0Q5HZW8	SC02
A0A0Q5RHR9	SC02
A0A0Q6W216	SC02
A0A0Q7ENR1	SC02
A0A0Q8QZZ9	SC02
A0A0Q9XRH6	SC02
A0A0R1G207	SC02
A0A0R1GTG6	SC02
A0A0R1HRA2	SC02
A0A0R1JD36	SC02
A0A0R1K6B2	SC02
A0A0R1L0F4	SC02
A0A0R1LTW7	SC02
A0A0R1NI91	SC02
A0A0R1R2Q3	SC02
A0A0R1SWD6	SC02
A0A0R1TFQ1	SC02
A0A0R1U959	SC02
A0A0R1UQJ1	SC02
A0A0R1UR36	SC02
A0A0R1VBR5	SC02
A0A0R1VCV7	SC02
A0A0R1VY27	SC02
A0A0R1XN72	SC02
A0A0R1Y5I5	SC02
A0A0R1YWX4	SC02
A0A0R2B4Y7	SC02
A0A0R2CI50	SC02
A0A0R2DC31	SC02
A0A0R2EYH0	SC02
A0A0R2FBR6	SC02
A0A0R2JXK5	SC02
A0A0R2KTB1	SC02
A0A0R2LY08	SC02
A0A0R2NZY8	SC02
A0A0S4LBX3	SC02
A0A0U2KEC6	SC02
A0A0U4BSR2	SC02
A0A0U5KCP9	SC02
A0A101J512	SC02
A0A109DCC4	SC02
A0A124BRW8	SC02
A0A133Q629	SC02
A0A133QW04	SC02
A0A133SC65	SC02
A0A136HEJ5	SC02
A0A136LJV4	SC02
A0A139KKY4	SC02
A0A143X815	SC02
A0A172TBA5	SC02
A0A173UCR0	SC02
A0A174BTA6	SC02
A0A174R755	SC02
A0A175BYE6	SC02
A0A192F6D2	SC02
A0A1B1ADX0	SC02
A0A1B1FT98	SC02
A0A1B1G980	SC02
A0A1B2IZS7	SC02
A0A1B6BH66	SC02
A0A1B8UTY6	SC02
A0A1B8WUN9	SC02
A0A1C0ACF2	SC02
A0A1C0W332	SC02
A0A1C4C5X0	SC02
A0A1C5U9N3	SC02
A0A1C5V2E5	SC02
A0A1C5YLG2	SC02
A0A1C6DMB7	SC02
A0A1C6F842	SC02
A0A1C6G2Y1	SC02
A0A1C7GX61	SC02
A0A1D4HE07	SC02
A0A1E1VS92	SC02
A0A1E5TKK8	SC02
A0A1E5TRM2	SC02
A0A1E9A9X6	SC02
A0A1F1BT88	SC02
A0A1F1R4B1	SC02
A0A1F5DD86	SC02
A0A1G1BZH5	SC02
A0A1G3KPR3	SC02
A0A1G3PHE8	SC02
A0A1G3PJX2	SC02
A0A1G3YZ88	SC02
A0A1G6LG38	SC02
A0A1G6ZL69	SC02
A0A1G7QAF7	SC02
A0A1G8UBU2	SC02
A0A1G9CSG1	SC02
A0A1G9HT04	SC02
A0A1H0BAG0	SC02
A0A1H3DIL8	SC02
A0A1H4CJ91	SC02
A0A1H6VIG4	SC02
A0A1H6WH78	SC02
A0A1H7AMA4	SC02
A0A1H9D2J4	SC02
A0A1H9HKY4	SC02
A0A1H9HT01	SC02
A0A1I0EX46	SC02
A0A1I0MQ59	SC02
A0A1I1J3X4	SC02
A0A1I1L6U9	SC02
A0A1I2ASI2	SC02
A0A1I2QCR9	SC02
A0A1I3IBN2	SC02
A0A1I3MD16	SC02
A0A1I4F4Z7	SC02
A0A1I5TBC1	SC02
A0A1J0GGI7	SC02
A0A1J3ZWX7	SC02
A0A1J4E703	SC02
A0A1K1P046	SC02
A0A1L3JQK0	SC02
A0A1L3KAA2	SC02
A0A1L6R915	SC02
A0A1L8N055	SC02
A0A1M4ZN86	SC02
A0A1M5UHK9	SC02
A0A1M6LMX9	SC02
A0A1M7A6X6	SC02
A0A1M7BXC5	SC02
A0A1M7DX88	SC02
A0A1N6ERD5	SC02
A0A1N7JIR6	SC02
A0A1P9WS99	SC02
A0A1Q1G0H3	SC02
A0A1Q2MBJ6	SC02
A0A1Q3MQG9	SC02
A0A1Q3PLP2	SC02
A0A1Q6R6U9	SC02
A0A1Q7ZXY5	SC02
A0A1S1F6Q4	SC02
A0A1S1GZH9	SC02
A0A1S2MLX8	SC02
A0A1S2NFY4	SC02
A0A1S2VE26	SC02
A0A1S8L262	SC02
A0A1S8LF51	SC02
A0A1S8R5F1	SC02
A0A1S8S3Z9	SC02
A0A1S8TPL8	SC02
A0A1S8TQ00	SC02
A0A1S9AGR6	SC02
A0A1S9N819	SC02
A0A1T1BBY6	SC02
A0A1T4JI27	SC02
A0A1T4ZXC6	SC02
A0A1T5BC24	SC02
A0A1T5F9G9	SC02
A0A1T5GBZ6	SC02
A0A1V0JF24	SC02
A0A1V2ES35	SC02
A0A1V4M3S6	SC02
A0A1V5GG51	SC02
A0A1V5IEH1	SC02
A0A1V5T8I9	SC02
A0A1W1VQA3	SC02
A0A1W6E8K6	SC02
A0A1W6NAV0	SC02
A0A1W6WEI4	SC02
A0A1W7LWS7	SC02
A0A1W9WYM5	SC02
A0A1X0VEB7	SC02
A0A1X7ILT7	SC02
A0A1X9TVT8	SC02
A0A1Y0GX64	SC02
A0A1Y1R813	SC02
A0A1Y1RUH7	SC02
A0A1Y3S4Z5	SC02
A0A1Y3XKJ9	SC02
A0A1Y4EMS3	SC02
A0A1Y4IPB8	SC02
A0A1Y4PZI6	SC02
A0A1Y4TUC0	SC02
A0A1Y4UC25	SC02
A0A1Y6JV48	SC02
A0A1Z2XW97	SC02
A0A1Z5IEN2	SC02
A0A1Z5IGW7	SC02
A0A1Z5J4V1	SC02
A0A1Z8WYT2	SC02
A0A212TG71	SC02
A0A212UCT0	SC02
A0A238VEH4	SC02
A0A239TNL2	SC02
A0A240C7B5	SC02
A0A245ZW88	SC02
A0A246ACZ9	SC02
A0A254QFK6	SC02
A0A256WUP7	SC02
A0A265E835	SC02
A0A269TIY6	SC02
A0A269XJB2	SC02
A0A285GX34	SC02
A0A285R084	SC02
A0A285UC21	SC02
A0A288Q8C1	SC02
A0A290Q4D8	SC02
A0A291JHE8	SC02
A0A292DHK7	SC02
A0A2A1KD38	SC02
A0A2A2HJI8	SC02
A0A2A2Y7A5	SC02
A0A2A3TVY8	SC02
A0A2A4GUV8	SC02
A0A2A4HA45	SC02
A0A2A5GE72	SC02
A0A2A5H986	SC02
A0A2C6WLC8	SC02
A0A2D0A833	SC02
A0A2D0AG15	SC02
A0A2D4TM06	SC02
A0A2D5BEP3	SC02
A0A2D6ZTY4	SC02
A0A2D7HPK0	SC02
A0A2D8IZQ3	SC02
A0A2D9EYW3	SC02
A0A2D9ZAH3	SC02
A0A2E0L0G6	SC02
A0A2E0UHH2	SC02
A0A2E0V637	SC02
A0A2E1ABE8	SC02
A0A2E2KJX2	SC02
A0A2E2PGF9	SC02
A0A2E3UTK1	SC02
A0A2E4IYF2	SC02
A0A2E5QP00	SC02
A0A2E7YXJ0	SC02
A0A2G2AXY2	SC02
A0A2G6JB94	SC02
A0A2G7GU70	SC02
A0A2H0GBT4	SC02
A0A2H0IS36	SC02
A0A2I0N2I9	SC02
A0A2I0PWR0	SC02
A0A2I9CZD3	SC02
A0A2J6P4J1	SC02
A0A2K0A5R7	SC02
A0A2K1NXR8	SC02
A0A2K3YFQ7	SC02
A0A2K3ZEN8	SC02
A0A2K3ZH37	SC02
A0A2K4BV75	SC02
A0A2K4DQ65	SC02
A0A2K8Z132	SC02
A0A2K9P3B5	SC02
A0A2M7NHV7	SC02
A0A2M8FUG8	SC02
A0A2M8PWG0	SC02
A0A2N0UIV1	SC02
A0A2N0UQL6	SC02
A0A2N0UXB5	SC02
A0A2N1VZE2	SC02
A0A2N1WA63	SC02
A0A2N2B051	SC02
A0A2N2BBA8	SC02
A0A2N2BIY3	SC02
A0A2N2C0X0	SC02
A0A2N2C7U4	SC02
A0A2N2CE65	SC02
A0A2N2DV74	SC02
A0A2N2EGU9	SC02
A0A2N3I253	SC02
A0A2N3PL00	SC02
A0A2N5MCR7	SC02
A0A2N6ALS3	SC02
A0A2N6AM45	SC02
A0A2N6QAZ9	SC02
A0A2N9KFS1	SC02
A0A2P8FWH0	SC02
A0A2P8WF14	SC02
A0A2R3N3M6	SC02
A0A2R6DI16	SC02
A0A2R6EYP9	SC02
A0A2S1JWN5	SC02
A0A2S1JYR8	SC02
A0A2S2DPH7	SC02
A0A2S2DWM7	SC02
A0A2S2JLP7	SC02
A0A2T0BFF0	SC02
A0A2T0BRB5	SC02
A0A2T1DDD9	SC02
A0A2T2YL21	SC02
A0A2T3W8S2	SC02
A0A2T4K9M3	SC02
A0A2T4KFT9	SC02
A0A2T4KR57	SC02
A0A2T4L239	SC02
A0A2T4L6V0	SC02
A0A2T4LUW1	SC02
A0A2T4M422	SC02
A0A2T4MJW9	SC02
A0A2T4MS14	SC02
A0A2T4PYQ0	SC02
A0A2T4QJS8	SC02
A0A2T4QWW1	SC02
A0A2T4SDN6	SC02
A0A2T4T0M2	SC02
A0A2U3MRW7	SC02
A0A2U8FDT7	SC02
A0A2V1MWQ1	SC02
A0A2V2N9K3	SC02
A0A2V2RHW0	SC02
A0A2V3ZD34	SC02
A0A2V6QFB6	SC02
A0A2V6SC43	SC02
A0A2V6T260	SC02
A0A2V6YTP4	SC02
A0A2V7BYD7	SC02
A0A2V7G4U8	SC02
A0A2V7MWX6	SC02
A0A2V8PIB4	SC02
A0A2V8PTF2	SC02
A0A2V8S5B2	SC02
A0A2V8SLT8	SC02
A0A2W4XGW8	SC02
A0A2X3B057	SC02
A0A2X3G0Z5	SC02
A0A2Z3GMI8	SC02
A0A2Z3JK54	SC02
A0A2Z3RDL9	SC02
A0A316EE97	SC02
A0A316S914	SC02
A0A317I0H5	SC02
A0A318R850	SC02
A0A321LTK2	SC02
A0A327NSU4	SC02
A0A327WUA4	SC02
A0A348N075	SC02
A0A348XD66	SC02
A0A349GBR6	SC02
A0A350KPX5	SC02
A0A350UR43	SC02
A0A351C297	SC02
A0A351QCC7	SC02
A0A352FTK3	SC02
A0A352I3L4	SC02
A0A352NSA9	SC02
A0A352V750	SC02
A0A352XK07	SC02
A0A353B115	SC02
A0A353PVC6	SC02
A0A353S8T9	SC02
A0A353W322	SC02
A0A354D2Q9	SC02
A0A356AI35	SC02
A0A356FZN9	SC02
A0A356JZH3	SC02
A0A356R2S8	SC02
A0A356R6X0	SC02
A0A356W1E3	SC02
A0A357Z1I6	SC02
A0A358JTL9	SC02
A0A359ETS4	SC02
A0A359G0L3	SC02
A0A368JF94	SC02
A0A369VW61	SC02
A0A372DWD2	SC02
A0A372IP81	SC02
A0A373KH37	SC02
A0A373KWZ1	SC02
A0A373PXE9	SC02
A0A373XUL5	SC02
A0A373Y6H5	SC02
A0A374DD56	SC02
A0A374DIG3	SC02
A0A374N831	SC02
A0A374UMM7	SC02
A0A377Q0W3	SC02
A0A378HIL3	SC02
A0A380BP74	SC02
A0A380C1S5	SC02
A0A380F348	SC02
A0A380G714	SC02
A0A380GII3	SC02
A0A380GXG3	SC02
A0A380H0K1	SC02
A0A380HIF3	SC02
A0A381E4H9	SC02
A0A381KWD5	SC02
A0A383R6W4	SC02
A0A397QFK5	SC02
A0A3A0B2Q6	SC02
A0A3A0DCH1	SC02
A0A3A0DS30	SC02
A0A3A0H553	SC02
A0A3A0VUI4	SC02
A0A3A5RJJ2	SC02
A0A3A9BZX8	SC02
A0A3A9EL09	SC02
A0A3B8ZJJ1	SC02
A0A3B9DI06	SC02
A0A3B9I6B7	SC02
A0A3B9Q814	SC02
A0A3B9T014	SC02
A0A3C0BN35	SC02
A0A3C0PN42	SC02
A0A3C1CV19	SC02
A0A3C1H2L5	SC02
A0A3C1ILS5	SC02
A0A3C1JLR9	SC02
A0A3C1PHX1	SC02
A0A3C1SJ87	SC02
A0A3D0DQG8	SC02
A0A3D0NEK2	SC02
A0A3D0XYS9	SC02
A0A3D2HRL8	SC02
A0A3D2QTY9	SC02
A0A3D2UB09	SC02
A0A3D3AIJ8	SC02
A0A3D3D8M5	SC02
A0A3D3FKK7	SC02
A0A3D3FP52	SC02
A0A3D3I2R4	SC02
A0A3D3JMV3	SC02
A0A3D3X6D5	SC02
A0A3D4I2F7	SC02
A0A3D5NJ65	SC02
A0A3D6EQZ5	SC02
A0A3E0B282	SC02
A0A3E4MDF7	SC02
A0A3E4PGR1	SC02
A0A3G4R1N1	SC02
A0A3G8YD48	SC02
A0A3G9H3W6	SC02
A0A3L7WGC5	SC02
A0A3L7YNR0	SC02
A0A3L7YTQ0	SC02
A0A3L7ZGG8	SC02
A0A3L7ZR03	SC02
A0A3M0WP57	SC02
A0A3M1BB67	SC02
A0A3M1TMK2	SC02
A0A3M1XLI3	SC02
A0A3M2G035	SC02
A0A3M2QJ71	SC02
A0A3N4TL44	SC02
A0A3N5NN37	SC02
A0A3P1BML1	SC02
A0A3P1CET2	SC02
A0A3P3VM76	SC02
A0A3P7NVJ6	SC02
A0A3R5XGN9	SC02
A0A3R6KUE9	SC02
A0A3R8GW18	SC02
A0A3S0RK33	SC02
A0A3S3QMW0	SC02
A0A3S7GZI0	SC02
A0A3S9NZK0	SC02
A0A3T0TPN9	SC02
A0A410NBL5	SC02
A0A410Q362	SC02
A0A412B050	SC02
A0A412BYD0	SC02
A0A412DVY1	SC02
A0A412UQD8	SC02
A0A413DF58	SC02
A0A413K2A5	SC02
A0A413QFY8	SC02
A0A414E2L6	SC02
A0A416CTC8	SC02
A0A416VNZ3	SC02
A0A417NFU7	SC02
A0A418IIR1	SC02
A0A418IQP0	SC02
A0A418JGT6	SC02
A0A418MHA5	SC02
A0A418QX79	SC02
A0A418REL8	SC02
A0A418VA58	SC02
A0A422QCR3	SC02
A0A428JNC7	SC02
A0A428KDI6	SC02
A0A430DXV5	SC02
A0A437PS64	SC02
A0A443KBB6	SC02
A0A443LEP2	SC02
A0A447YX74	SC02
A0A483BDT6	SC02
A0A494VK34	SC02
A0A495WKD6	SC02
A0A496BPD7	SC02
A0A496CS30	SC02
A0A496E9R3	SC02
A0A496QR60	SC02
A0A4P8A257	SC02
A0A4Q0PKG9	SC02
A0A4Q1C0D7	SC02
A0A4Q1DE10	SC02
A0A4Q1SPJ8	SC02
A0A4Q2LYS3	SC02
A0A4Q2UJ68	SC02
A0A4Q3KE31	SC02
A0A4Q3KUJ5	SC02
A0A4Q3VYM9	SC02
A0A4Q6E3R2	SC02
A0A4Q6FDV8	SC02
A0A4Q6FEE3	SC02
A0A4Q7IXT3	SC02
A0A4Q7PQA0	SC02
A0A4Q8N022	SC02
A0A4Q9B9Q8	SC02
A0A4Q9WQD1	SC02
A0A4R1BPW8	SC02
A0A4R1MFQ2	SC02
A0A4R1R0A2	SC02
A0A4R2GGB6	SC02
A0A4R4BQ60	SC02
A0A4R5GDB5	SC02
A0A4R5N315	SC02
A0A4R5NAJ7	SC02
A0A4S0LQD1	SC02
A0A4S2BQB3	SC02
A0A4S4B9H7	SC02
A0A4U0QZK5	SC02
A0A4U8UFJ4	SC02
A0A4U9T5S4	SC02
A0A4V1NLX7	SC02
A0A4V2E1B0	SC02
A0A4V3WGL7	SC02
A0A4Y1YDU4	SC02
A0A4Y4G6Y9	SC02
A0A4Z0JDX6	SC02
A0A4Z0P9C7	SC02
A0A4Z0PAV0	SC02
A0A4Z0YFH9	SC02
A0A4Z1BY04	SC02
A0A502GT45	SC02
A0A507SSR9	SC02
A0A508VJ52	SC02
A0A510HL78	SC02
A0A512PWQ5	SC02
A0A512SD58	SC02
A0A514ZW95	SC02
A0A518GGY3	SC02
A0A518IN44	SC02
A0A519BFS9	SC02
A0A519BJX4	SC02
A0A519MJZ0	SC02
A0A519TPH7	SC02
A0A520NGV7	SC02
A0A520T5F4	SC02
A0A521GCC5	SC02
A0A521IGY9	SC02
A0A523FY47	SC02
A0A524A6W6	SC02
A0A524IHM7	SC02
A0A533TPS8	SC02
A0A535ZYB1	SC02
A0A537HU48	SC02
A0A538SDX4	SC02
A0A542AHK9	SC02
A0A544V3Y5	SC02
A0A553UQR8	SC02
A0A558AZX3	SC02
A0A558BUQ4	SC02
A0A559KE89	SC02
A0A562XID9	SC02
A0A5A5U169	SC02
A0A5B2YZV0	SC02
A0A5B8EGM2	SC02
A0A5B8SYV6	SC02
A0A5B8T3D6	SC02
A0A5B8TDU3	SC02
A0A5B8TNI3	SC02
A0A5B8UZ67	SC02
A0A5B9D121	SC02
A0A5C4SBE6	SC02
A0A5C4YAV1	SC02
A0A5C6FCG4	SC02
A0A5C6KJ02	SC02
A0A5C7FQC6	SC02
A0A5C8SPQ1	SC02
A0A5E4KMM4	SC02
A0A5J6YZH7	SC02
A0A5M8QQ85	SC02
A0A5M9DDM9	SC02
A0A5M9EGX4	SC02
A0A5M9NGN7	SC02
A0A5N1JG00	SC02
A0A5P2EWW6	SC02
A0A5R9B0X6	SC02
A0A5R9CYR8	SC02
A0A5R9DJU8	SC02
A0A5R9DQX5	SC02
A0A5R9K2Y5	SC02
A0A5R9KC64	SC02
A0A5R9L1C7	SC02
A0A5S9QIL1	SC02
A0A5S9QT16	SC02
A0A640MX37	SC02
A0A650ENB1	SC02
A0A650ER69	SC02
A0A651ED84	SC02
A0A651I245	SC02
A0A653TQU5	SC02
A0A654C3K3	SC02
A0A660E5E6	SC02
A0A662C2P4	SC02
A0A662Z7K4	SC02
A0A679HHL6	SC02
A0A6A0HPE1	SC02
A0A6A7JY24	SC02
A0A6A7KWR1	SC02
A0A6A8HJ69	SC02
A0A6A8MFG7	SC02
A0A6B1DHR3	SC02
A0A6B8XZW8	SC02
A0A6C1PMA0	SC02
A0A6C2C5D5	SC02
A0A6G2CL36	SC02
A0A6G7WJH3	SC02
A0A6G8KNL8	SC02
A0A6G9AJC4	SC02
A0A6G9Q2R4	SC02
A0A6H9HHT9	SC02
A0A6I1JIH1	SC02
A0A6I3PPZ0	SC02
A0A6I3RZE5	SC02
A0A6I5XFI1	SC02
A0A6I7QS80	SC02
A0A6J4QM74	SC02
A0A6L6YKD7	SC02
A0A6L7ADT5	SC02
A0A6L7WSK7	SC02
A0A6L9L794	SC02
A0A6M0ILH4	SC02
A0A6M5Y6M0	SC02
A0A6M6BEC4	SC02
A0A6M6BJN0	SC02
A0A6N2D3K9	SC02
A0A6N2E637	SC02
A0A6N3CER0	SC02
A0A6N4RDT5	SC02
A0A6N6V8L4	SC02
A0A6N7XRQ3	SC02
A0A6N8I4X3	SC02
A0A6N8TXB4	SC02
A0A6N8X4K2	SC02
A0A6N9PQ55	SC02
A0A6P0SGY8	SC02
A0A6P0TDF0	SC02
A0A6P1E5C2	SC02
A0A6P1VZA0	SC02
A0A6P1WUH3	SC02
A0A6P1Y5P9	SC02
A0A6P2CU18	SC02
A0A6S6XEV3	SC02
A0A6V7RL39	SC02
A0A6V7RLR9	SC02
A0A6V7RRT2	SC02
A0A6V7RSR5	SC02
A0A7C3DJR0	SC02
A0A7C3EE69	SC02
A0A7C5EY51	SC02
A0A7C6FDG8	SC02
A0A7C6MMU2	SC02
A0A7C7CD02	SC02
A0A7C7WHJ9	SC02
A0A7C9LSB0	SC02
A0A7D4AWG8	SC02
A0A7G6XYD4	SC02
A0A7G7W8J2	SC02
A0A7G9T3M3	SC02
A0A7G9WK81	SC02
A0A7H4GKN7	SC02
A0A7H9DLW6	SC02
A0A7H9EKV6	SC02
A0A7J4PH01	SC02
A0A7J4YU56	SC02
A0A7J5E8I3	SC02
A0A7J5TVP1	SC02
A0A7K0EUJ5	SC02
A0A7K0H279	SC02
A0A7K1SPM1	SC02
A0A7K3YXZ0	SC02
A0A7K4A2X2	SC02
A0A7K4B9B8	SC02
A0A7K4HNJ6	SC02
A0A7L5EMP1	SC02
A0A7L8V1B1	SC02
A0A7S6MZD4	SC02
A0A7S7SJS3	SC02
A0A7T1B092	SC02
A0A7T3V4R2	SC02
A0A7T4X1Y9	SC02
A0A7T8BCQ3	SC02
A0A7T8UUR0	SC02
A0A7T9RXN8	SC02
A0A7U8C709	SC02
A0A7V0LRI8	SC02
A0A7V2ZZS7	SC02
A0A7V3E7T9	SC02
A0A7V4ZZG1	SC02
A0A7V5G1A7	SC02
A0A7V6FEF0	SC02
A0A7V6STE2	SC02
A0A7V7ZAA3	SC02
A0A7V8AVZ1	SC02
A0A7V8X8V4	SC02
A0A7V8Z199	SC02
A0A7V9TJQ8	SC02
A0A7W0MH71	SC02
A0A7W0N8W9	SC02
A0A7W0NQW2	SC02
A0A7W0ZQ41	SC02
A0A7W1IAH2	SC02
A0A7W1JQF8	SC02
A0A7W1NTI3	SC02
A0A7W1TQ99	SC02
A0A7W1UAK9	SC02
A0A7W2G4C0	SC02
A0A7W5ZMK9	SC02
A0A7W8KJF6	SC02
A0A7W8M9P9	SC02
A0A7W9SZ02	SC02
A0A7W9X6H0	SC02
A0A7X0CDI9	SC02
A0A7X1NWS8	SC02
A0A7X2XY44	SC02
A0A7X3PWE5	SC02
A0A7X3UW18	SC02
A0A7X4KN63	SC02
A0A7X5HW32	SC02
A0A7X6TV71	SC02
A0A7X7H2I6	SC02
A0A7X7U798	SC02
A0A7X7ZYW7	SC02
A0A7X8BFG8	SC02
A0A7X8F1Q8	SC02
A0A7X8I007	SC02
A0A7X8IUA0	SC02
A0A7X8Q4D5	SC02
A0A7X9BKL5	SC02
A0A7X9WAZ2	SC02
A0A7X9Y3Z7	SC02
A0A7Y2GV47	SC02
A0A7Y2K2T3	SC02
A0A7Y3L1L2	SC02
A0A7Y4TIN8	SC02
A0A7Y4TY23	SC02
A0A7Y5FKB2	SC02
A0A7Y5NDC5	SC02
A0A7Y6QRF9	SC02
A0A7Y7PNQ9	SC02
A0A7Y8QFJ5	SC02
A0A7Y9D8P0	SC02
A0A7Y9HXZ1	SC02
A0A7Z0HWV0	SC02
A0A7Z7PM76	SC02
A0A7Z7QEQ7	SC02
A0A7Z7QNV7	SC02
A0A7Z8E2U6	SC02
A0A809KCB8	SC02
A0A810QE59	SC02
A0A828RQ27	SC02
A0A829LT41	SC02
A0A831LV86	SC02
A0A832DIW7	SC02
A0A833HQH6	SC02
A0A837DTV4	SC02
A0A837IY46	SC02
A0A838ENM7	SC02
A0A838JJ17	SC02
A0A838NTJ6	SC02
A0A839TT19	SC02
A0A840SCY4	SC02
A0A841EHI4	SC02
A0A841YDV7	SC02
A0A842J4S6	SC02
A0A843CYZ3	SC02
A0A843FUQ5	SC02
A0A843RSQ9	SC02
A0A843Z2C9	SC02
A0A844FL35	SC02
A0A845C6X1	SC02
A0A846ZFS9	SC02
A0A847BCY2	SC02
A0A847M073	SC02
A0A847V9V7	SC02
A0A848B208	SC02
A0A848J3X4	SC02
A0A849TWW1	SC02
A0A853V2I0	SC02
A0A855TW39	SC02
A0A856KEK3	SC02
A0A859DPY1	SC02
A0A8B2QTH9	SC02
A0A8B2ZKG7	SC02
A0A8B5RRV3	SC02
A0NHY0	SC02
A2SQZ9	SC02
A6LE06	SC02
