protid	LeidenCluster
A0A059E886	LC06
A0A059FAS2	LC06
A0A059FB52	LC06
A0A059FUF6	LC06
A0A059G7W6	LC06
A0A059KS02	LC05
A0A059KWY0	LC12
A0A059V3K9	LC31
A0A059W5Y6	LC01
A0A059ZW80	LC43
A0A060B9Q6	LC03
A0A060H0R4	LC07
A0A060HDT2	LC07
A0A060HUT5	LC15
A0A060JEL5	LC22
A0A060NNP6	LC30
A0A060NXF2	LC30
A0A060PUX4	LC16
A0A060QAU9	LC14
A0A060RBM0	LC04
A0A060UPC6	LC43
A0A060ZRK9	LC01
A0A061JTR1	LC12
A0A061M0A4	LC18
A0A061N500	LC00
A0A061NZW2	LC34
A0A061Q3A7	LC09
A0A061QEX7	LC10
A0A061SST7	LC11
A0A062BUZ9	LC23
A0A062GRU3	LC23
A0A062IBL8	LC23
A0A062IR55	LC23
A0A062N107	LC23
A0A062NCD9	LC23
A0A062UHM5	LC06
A0A062UHQ4	LC06
A0A062VNX9	LC06
A0A062VQY9	LC24
A0A062WZ20	LC00
A0A062XCY4	LC08
A0A063BC52	LC29
A0A063Y2Y2	LC03
A0A064CCK9	LC22
A0A066PW50	LC06
A0A066RW25	LC09
A0A066TCZ8	LC07
A0A066TI79	LC20
A0A066U670	LC24
A0A066UKQ8	LC36
A0A066ULL6	LC09
A0A066X093	LC02
A0A066Z0E5	LC01
A0A066ZVT0	LC32
A0A067LVG6	LC38
A0A067W6P1	LC42
A0A067WLD7	LC15
A0A067Z632	LC14
A0A068D401	LC15
A0A068FWW1	LC35
A0A068N0C7	LC35
A0A068NH06	LC17
A0A068NMS7	LC00
A0A068NW01	LC10
A0A068QW72	LC09
A0A068R4Q5	LC09
A0A068RA06	LC09
A0A068SND7	LC15
A0A068T5S9	LC15
A0A068YQL0	LC05
A0A068Z4G9	LC09
A0A069CRL8	LC00
A0A069D3V9	LC05
A0A069DJM6	LC05
A0A069E231	LC06
A0A069EUC2	LC24
A0A069IGX1	LC32
A0A069IS22	LC02
A0A069JV81	LC01
A0A069P9S5	LC29
A0A069PRF1	LC29
A0A069RLP7	LC11
A0A069RYT0	LC00
A0A069SLI8	LC07
A0A069ZL68	LC02
A0A070A1V2	LC02
A0A071LNX0	LC09
A0A071MIV5	LC29
A0A072D0X2	LC23
A0A072DDW4	LC23
A0A072MV38	LC13
A0A072N0S6	LC43
A0A072NJS8	LC00
A0A072NTJ9	LC17
A0A073AUK2	LC26
A0A073CJ14	LC35
A0A073IHW0	LC11
A0A073J8D3	LC10
A0A073JNK4	LC08
A0A073K3G5	LC17
A0A073KHQ2	LC17
A0A074J794	LC28
A0A074JWZ2	LC28
A0A074K8Q5	LC33
A0A074KV19	LC18
A0A074LJR1	LC08
A0A074MDB2	LC05
A0A074MX74	LC07
A0A074TPD3	LC28
A0A074TSX4	LC24
A0A075JI52	LC00
A0A075K1Q8	LC31
A0A075K5I5	LC20
A0A075KJ57	LC11
A0A075LU76	LC36
A0A075NWU0	LC14
A0A075UWS9	LC22
A0A076EH49	LC22
A0A076FB28	LC28
A0A076GZA2	LC37
A0A076HAR3	LC37
A0A076HF37	LC37
A0A076HUS6	LC00
A0A076HYR1	LC36
A0A076JEU9	LC13
A0A076JJ88	LC13
A0A076LNI0	LC04
A0A076MUZ4	LC24
A0A076NT25	LC27
A0A076PTA7	LC32
A0A076Q415	LC35
A0A077EG85	LC32
A0A077FFK4	LC31
A0A077JHG9	LC35
A0A077KLJ5	LC08
A0A077L1M3	LC23
A0A077L585	LC23
A0A077LCQ2	LC12
A0A077LZ27	LC39
A0A077MCF0	LC39
A0A077MY94	LC09
A0A077NGB6	LC09
A0A077NV28	LC09
A0A077NWX8	LC09
A0A077PJ50	LC09
A0A077PQF1	LC09
A0A077QIJ6	LC09
A0A078BM74	LC29
A0A078KQ68	LC05
A0A078LSY8	LC12
A0A078M4A8	LC17
A0A078M4E9	LC06
A0A078MHN1	LC31
A0A078MTZ0	LC13
A0A078R412	LC07
A0A078S119	LC14
A0A080IV52	LC19
A0A080KMM1	LC07
A0A080MDA4	LC32
A0A080N681	LC13
A0A081B9D8	LC07
A0A081D0J9	LC15
A0A081DB59	LC00
A0A081DE01	LC08
A0A081DEG6	LC01
A0A081EXX7	LC24
A0A081FYI5	LC03
A0A081GJY6	LC37
A0A081I6S3	LC00
A0A081J930	LC32
A0A081K739	LC38
A0A081N1T9	LC36
A0A081ND75	LC00
A0A081NRU4	LC08
A0A081P4J8	LC03
A0A081PIZ7	LC00
A0A081PJM5	LC02
A0A081RD09	LC33
A0A081RTN9	LC09
A0A081SF46	LC05
A0A081XVS1	LC01
A0A083URH1	LC31
A0A083XUK8	LC13
A0A083YDV9	LC16
A0A084A4T1	LC09
A0A084DJ96	LC29
A0A084EQX7	LC33
A0A084H315	LC18
A0A084IL58	LC05
A0A084J3Q3	LC17
A0A084JQM7	LC04
A0A084JW66	LC08
A0A084K053	LC00
A0A084SIC1	LC03
A0A084SKD6	LC05
A0A084T9H0	LC09
A0A084THT0	LC07
A0A084UBY8	LC15
A0A084Y6C5	LC32
A0A085A8R8	LC09
A0A085B118	LC44
A0A085B605	LC08
A0A085B860	LC08
A0A085BAN2	LC00
A0A085EEH4	LC02
A0A085EQ97	LC04
A0A085EQY9	LC21
A0A085FLS7	LC07
A0A085G7R0	LC40
A0A085G8A4	LC09
A0A085HIS8	LC04
A0A085JHU5	LC09
A0A085K3C4	LC33
A0A085U1N5	LC28
A0A085URX3	LC12
A0A085VR34	LC12
A0A085W503	LC18
A0A085WRJ2	LC26
A0A085YXQ1	LC00
A0A085Z7J7	LC08
A0A085ZHI0	LC08
A0A085ZVT9	LC02
A0A086A9T2	LC08
A0A086AKE0	LC08
A0A086B6Z2	LC08
A0A086CIF9	LC35
A0A086D152	LC05
A0A086E045	LC22
A0A086F125	LC09
A0A086H500	LC01
A0A086MIP3	LC21
A0A086MTE9	LC01
A0A086PB36	LC33
A0A086WEU7	LC04
A0A086WUN5	LC09
A0A086Y974	LC28
A0A086YCC2	LC11
A0A086Z2C3	LC13
A0A086ZF35	LC00
A0A086ZLL1	LC13
A0A086ZN91	LC13
A0A087A6P9	LC13
A0A087AP72	LC13
A0A087AXJ5	LC13
A0A087B2Q9	LC13
A0A087B9Q9	LC13
A0A087BAT3	LC13
A0A087BDH4	LC13
A0A087BRA2	LC13
A0A087C4M1	LC13
A0A087CFB9	LC13
A0A087CM88	LC13
A0A087CVT9	LC13
A0A087CZ96	LC13
A0A087DEC1	LC13
A0A087DJ82	LC13
A0A087DLB0	LC13
A0A087DN88	LC13
A0A087E2W7	LC13
A0A087E830	LC13
A0A087E926	LC13
A0A087F8S1	LC12
A0A087K022	LC01
A0A087KYB7	LC09
A0A087M6F3	LC07
A0A087MAR0	LC11
A0A087MKM4	LC07
A0A087N3W8	LC17
A0A087N8G3	LC33
A0A087PLT3	LC04
A0A087VVI0	LC13
A0A088DA64	LC23
A0A088F047	LC32
A0A088F062	LC28
A0A088N0V7	LC17
A0A088U7Y5	LC29
A0A089HME9	LC04
A0A089JC51	LC04
A0A089KEM8	LC04
A0A089L1I8	LC04
A0A089LAJ8	LC04
A0A089LYC3	LC04
A0A089M9X2	LC04
A0A089MR65	LC04
A0A089NKL3	LC21
A0A089P8R4	LC37
A0A089PHQ3	LC00
A0A089Q7L0	LC09
A0A089WHG4	LC31
A0A089X5I6	LC01
A0A089YRF9	LC12
A0A090AIP8	LC02
A0A090BWD7	LC19
A0A090C1G8	LC23
A0A090EGL9	LC15
A0A090EI97	LC15
A0A090FDT6	LC15
A0A090FLS9	LC15
A0A090GHF5	LC15
A0A090HW00	LC26
A0A090N7A0	LC06
A0A090NJ96	LC19
A0A090PZY8	LC08
A0A090Q1Q7	LC00
A0A090Q5Z1	LC00
A0A090Q7K6	LC34
A0A090Q9Y9	LC08
A0A090QF11	LC34
A0A090QFB7	LC08
A0A090QZI9	LC09
A0A090S8H8	LC09
A0A090T7U2	LC09
A0A090VQ13	LC40
A0A090WIW5	LC07
A0A090WJB9	LC01
A0A090ZGG2	LC17
A0A090ZM35	LC00
A0A091AKF3	LC10
A0A091B0I3	LC07
A0A091B9P6	LC07
A0A091BCW5	LC07
A0A091BT95	LC07
A0A093RIE3	LC09
A0A094IUG8	LC09
A0A094JDM0	LC09
A0A094JWJ3	LC18
A0A094P1D5	LC01
A0A094P4I8	LC49
A0A094PE81	LC41
A0A094PEC5	LC01
A0A094PGL5	LC41
A0A094RH19	LC01
A0A094RJQ4	LC01
A0A094S1N5	LC40
A0A094YXC1	LC05
A0A095B793	LC10
A0A095CXR8	LC10
A0A095S8V5	LC07
A0A095TS21	LC07
A0A095TZP7	LC27
A0A095UDE7	LC09
A0A095V2R5	LC38
A0A095VCY8	LC15
A0A095WX48	LC00
A0A095XJM8	LC26
A0A095XTA1	LC03
A0A095Y9S3	LC22
A0A095YBQ4	LC36
A0A096AHX7	LC05
A0A096H0W1	LC32
A0A096LLV0	LC22
A0A097EDE6	LC10
A0A097R4U9	LC09
A0A098AWE6	LC11
A0A098C0U3	LC00
A0A098EH89	LC18
A0A098FU99	LC12
A0A098G1B5	LC05
A0A098GKR1	LC05
A0A098LFY8	LC22
A0A098M3Y7	LC04
A0A098MZ47	LC05
A0A098Q112	LC07
A0A098QWY0	LC17
A0A098RX08	LC15
A0A098S4I1	LC00
A0A098S5E1	LC04
A0A098T978	LC15
A0A098U7X4	LC05
A0A098Y0W0	LC18
A0A099CW45	LC20
A0A099F7G7	LC28
A0A099FGK8	LC28
A0A099JT31	LC22
A0A099LT65	LC09
A0A099N849	LC31
A0A099PFF1	LC03
A0A099SFV8	LC04
A0A099TDK5	LC11
A0A099TUA3	LC28
A0A099TV54	LC11
A0A099UBW4	LC28
A0A099YA15	LC08
A0A0A0B207	LC00
A0A0A0BG23	LC05
A0A0A0BTT2	LC00
A0A0A0BU82	LC00
A0A0A0CUG7	LC09
A0A0A0D016	LC11
A0A0A0DMZ6	LC04
A0A0A0EK28	LC11
A0A0A0ETI9	LC25
A0A0A0EZH9	LC25
A0A0A0F3M0	LC25
A0A0A0FCY4	LC19
A0A0A0HMG6	LC11
A0A0A0JAY8	LC00
A0A0A0JIL4	LC13
A0A0A0JWN0	LC13
A0A0A0M2P6	LC21
A0A0A0M878	LC25
A0A0A0UHF9	LC13
A0A0A1CXS7	LC13
A0A0A1DRT7	LC01
A0A0A1FBY2	LC32
A0A0A1FG39	LC29
A0A0A1H9B0	LC32
A0A0A1I363	LC12
A0A0A1MN06	LC26
A0A0A1PDJ6	LC21
A0A0A1VMA3	LC00
A0A0A1VVD4	LC37
A0A0A1W1Z4	LC10
A0A0A1YML9	LC12
A0A0A1Z4T9	LC12
A0A0A1ZC87	LC37
A0A0A1ZVL4	LC37
A0A0A2A389	LC37
A0A0A2ABT5	LC37
A0A0A2AJS6	LC37
A0A0A2B3F5	LC37
A0A0A2B9L9	LC37
A0A0A2BKN1	LC37
A0A0A2BMY1	LC37
A0A0A2C6V5	LC00
A0A0A2CKH6	LC37
A0A0A2DQ35	LC19
A0A0A2DY55	LC02
A0A0A2E4A9	LC04
A0A0A2EQS7	LC00
A0A0A2EYR6	LC00
A0A0A2F4X1	LC00
A0A0A2FFQ9	LC00
A0A0A2GSW9	LC04
A0A0A2GTU6	LC08
A0A0A2I1H7	LC01
A0A0A2LW51	LC27
A0A0A2MCR0	LC27
A0A0A2MHG8	LC27
A0A0A2MI56	LC00
A0A0A2MYU4	LC27
A0A0A2RSH9	LC00
A0A0A2SPN0	LC20
A0A0A2SQ61	LC14
A0A0A2T979	LC36
A0A0A2TZR6	LC04
A0A0A2UV78	LC17
A0A0A2WHT3	LC25
A0A0A2XFM1	LC14
A0A0A3B9S7	LC14
A0A0A3HMW2	LC14
A0A0A3ICH4	LC18
A0A0A3IV34	LC18
A0A0A3J5Q3	LC14
A0A0A3JA58	LC18
A0A0A3W1Y0	LC23
A0A0A3XR06	LC42
A0A0A3Z408	LC09
A0A0A5G833	LC17
A0A0A5GHI2	LC18
A0A0A5HJB5	LC17
A0A0A5I046	LC09
A0A0A6DI82	LC12
A0A0A6QLP9	LC09
A0A0A6TKJ2	LC07
A0A0A6UK66	LC24
A0A0A6VMD9	LC13
A0A0A6YCV5	LC13
A0A0A6YSU0	LC00
A0A0A6ZX14	LC19
A0A0A7I4A6	LC13
A0A0A7I5Z4	LC13
A0A0A7KC50	LC18
A0A0A7LAG4	LC06
A0A0A7LNL8	LC14
A0A0A7PH11	LC10
A0A0A7S2F6	LC00
A0A0A8ELH1	LC01
A0A0A8F589	LC20
A0A0A8GXJ8	LC28
A0A0A8H4Y5	LC28
A0A0A8HDQ7	LC28
A0A0A8HVZ1	LC28
A0A0A8K502	LC07
A0A0A8RV30	LC44
A0A0A8TMG2	LC23
A0A0A8TQR1	LC23
A0A0A8UPE7	LC05
A0A0A8VF34	LC09
A0A0A8XDH6	LC23
A0A0A8XG50	LC23
A0A0B0D7R3	LC05
A0A0B0HGA9	LC20
A0A0B0IH22	LC17
A0A0B0KN27	LC23
A0A0B0KRJ9	LC23
A0A0B0Q2Q3	LC11
A0A0B1QBX7	LC06
A0A0B1R6M2	LC09
A0A0B1RHV1	LC22
A0A0B1Y646	LC18
A0A0B1YGX6	LC32
A0A0B1YNR4	LC29
A0A0B1Z2Z2	LC12
A0A0B1ZN95	LC10
A0A0B2A3S5	LC24
A0A0B2AJ05	LC13
A0A0B2BZD8	LC10
A0A0B2CSL6	LC07
A0A0B2DUI1	LC16
A0A0B2DZS1	LC16
A0A0B2ECN4	LC16
A0A0B2EG07	LC16
A0A0B2EGE0	LC16
A0A0B2EL32	LC16
A0A0B2ES65	LC16
A0A0B2EUW9	LC16
A0A0B2F0I0	LC16
A0A0B2FDE3	LC04
A0A0B2Y0Q3	LC22
A0A0B2YPY6	LC22
A0A0B3BN32	LC04
A0A0B3RKF5	LC11
A0A0B3Y7W7	LC14
A0A0B4CFU1	LC10
A0A0B4CMJ5	LC13
A0A0B4CX78	LC02
A0A0B4D772	LC24
A0A0B4D9Z0	LC08
A0A0B4RFM5	LC18
A0A0B4WYH1	LC15
A0A0B4XFK2	LC02
A0A0B4XW70	LC33
A0A0B5AKM3	LC34
A0A0B5BDC4	LC21
A0A0B5CMT7	LC20
A0A0B5DDS6	LC41
A0A0B5F286	LC26
A0A0B5H4R0	LC36
A0A0B5I9M6	LC01
A0A0B5QS71	LC10
A0A0B5S188	LC27
A0A0B5SCJ1	LC17
A0A0B6AM55	LC19
A0A0B6BU64	LC17
A0A0B6RKC3	LC29
A0A0B6XAL8	LC09
A0A0B7DG57	LC12
A0A0B7GVB7	LC03
A0A0B7HDW3	LC00
A0A0B7HLK5	LC00
A0A0B7HPF0	LC00
A0A0B7IIH5	LC00
A0A0B7IIY7	LC00
A0A0B7IKC6	LC00
A0A0B7IRQ3	LC00
A0A0B7IXE8	LC20
A0A0B7JFQ5	LC02
A0A0B7NZY3	LC44
A0A0B8NAL5	LC00
A0A0B8PH45	LC09
A0A0B8Q9S8	LC09
A0A0B8QG62	LC09
A0A0B8T612	LC32
A0A0B8WCA2	LC01
A0A0B8YGY3	LC07
A0A0B8Z901	LC10
A0A0B9A0H7	LC39
A0A0B9GQX0	LC09
A0A0C1CSL2	LC22
A0A0C1CYP4	LC02
A0A0C1D4R8	LC00
A0A0C1E3W9	LC20
A0A0C1FCT6	LC04
A0A0C1FX18	LC02
A0A0C1FZ54	LC02
A0A0C1IE36	LC31
A0A0C1IUE7	LC00
A0A0C1KQV8	LC07
A0A0C1LYS8	LC04
A0A0C1MCB6	LC25
A0A0C1MLR9	LC19
A0A0C1QSH2	LC21
A0A0C1UNA5	LC36
A0A0C1W223	LC09
A0A0C1WPG3	LC12
A0A0C1YAQ0	LC07
A0A0C2ASE6	LC01
A0A0C2B734	LC01
A0A0C2DIV0	LC06
A0A0C2DUU9	LC21
A0A0C2E5A2	LC31
A0A0C2JN90	LC01
A0A0C2M790	LC12
A0A0C2QDG7	LC35
A0A0C2QRG5	LC35
A0A0C2RB35	LC05
A0A0C2UU13	LC00
A0A0C2VJP3	LC18
A0A0C2VZV9	LC33
A0A0C2W0X6	LC34
A0A0C2YFG7	LC10
A0A0C2Z6K2	LC00
A0A0C2ZKD5	LC28
A0A0C2ZM09	LC28
A0A0C3EF34	LC03
A0A0C3IZ21	LC20
A0A0C3RRN7	LC14
A0A0C4WLE1	LC04
A0A0C4WQT7	LC04
A0A0C4Y473	LC32
A0A0C4YDR7	LC05
A0A0C5BE10	LC38
A0A0C5E4R9	LC31
A0A0C5G4C2	LC01
A0A0C5JK91	LC20
A0A0C5KJ13	LC04
A0A0C5RPD1	LC31
A0A0C5VWP5	LC05
A0A0C5WG22	LC07
A0A0C5WXN8	LC09
A0A0C5XA65	LC05
A0A0C5XP75	LC33
A0A0C6FRR7	LC21
A0A0C6P6W9	LC38
A0A0C9N0A7	LC10
A0A0C9QFP2	LC07
A0A0D0F1Z5	LC02
A0A0D0GUS1	LC32
A0A0D0GVC2	LC02
A0A0D0HIW0	LC09
A0A0D0HXD9	LC14
A0A0D0HY76	LC18
A0A0D0IPJ6	LC06
A0A0D0J715	LC15
A0A0D0K135	LC24
A0A0D0KCV5	LC24
A0A0D0KQX3	LC12
A0A0D0L7D6	LC30
A0A0D0LR59	LC07
A0A0D0N7I4	LC01
A0A0D0PAL6	LC17
A0A0D0PBC5	LC12
A0A0D0QCL1	LC06
A0A0D0QVJ3	LC04
A0A0D0RY14	LC14
A0A0D0RY68	LC25
A0A0D0TPH0	LC12
A0A0D1C2J7	LC13
A0A0D1D9J7	LC09
A0A0D1EKN8	LC11
A0A0D1GNV1	LC09
A0A0D1JIV5	LC11
A0A0D1KY79	LC39
A0A0D1MQV9	LC10
A0A0D1NQ85	LC12
A0A0D1QWF8	LC17
A0A0D3LNK7	LC17
A0A0D3VGX5	LC04
A0A0D4C087	LC13
A0A0D4CNL2	LC08
A0A0D4DNM4	LC01
A0A0D5A361	LC00
A0A0D5A454	LC00
A0A0D5A8N4	LC22
A0A0D5BN57	LC32
A0A0D5CKU4	LC38
A0A0D5LP80	LC15
A0A0D5M097	LC03
A0A0D5NL51	LC03
A0A0D5V8U0	LC29
A0A0D5XS94	LC12
A0A0D5YJ41	LC23
A0A0D5YQ49	LC27
A0A0D6AC32	LC35
A0A0D6AQS7	LC35
A0A0D6B1G1	LC11
A0A0D6BR58	LC12
A0A0D6E5E4	LC03
A0A0D6EWN4	LC00
A0A0D6JLD9	LC07
A0A0D6JNC5	LC00
A0A0D6JQG5	LC00
A0A0D6KQE2	LC37
A0A0D6KZF7	LC35
A0A0D6MJN4	LC14
A0A0D6MXG5	LC02
A0A0D6N328	LC02
A0A0D6PE50	LC11
A0A0D6PPG4	LC14
A0A0D6Q643	LC02
A0A0D6T1H7	LC12
A0A0D6TH86	LC28
A0A0D6TT59	LC27
A0A0D6XS56	LC06
A0A0D6Z5L8	LC17
A0A0D7CCG3	LC01
A0A0D7E5J6	LC12
A0A0D7ETK9	LC21
A0A0D7KBG0	LC30
A0A0D7KSX0	LC00
A0A0D7PKN3	LC21
A0A0D7PY85	LC42
A0A0D7QAZ7	LC21
A0A0D7UUB8	LC03
A0A0D7W0S4	LC07
A0A0D7W1B0	LC07
A0A0D7WXP3	LC05
A0A0D7X516	LC03
A0A0D8CFW7	LC33
A0A0D8FYC9	LC01
A0A0D8HI20	LC02
A0A0D8HWA7	LC03
A0A0D8I6H1	LC02
A0A0D8J3W5	LC02
A0A0D8J4I8	LC04
A0A0D8KI95	LC15
A0A0D8ZR95	LC35
A0A0D9AB10	LC31
A0A0D9AT51	LC12
A0A0E0UB94	LC15
A0A0E0WCU8	LC16
A0A0E0XW60	LC19
A0A0E1CFC5	LC09
A0A0E1M089	LC19
A0A0E1MKI2	LC17
A0A0E1NYA1	LC09
A0A0E1PT57	LC23
A0A0E1PX51	LC23
A0A0E1S506	LC29
A0A0E1SUU8	LC19
A0A0E1TZJ2	LC29
A0A0E1UUH3	LC29
A0A0E1VBK6	LC06
A0A0E1W484	LC29
A0A0E1XC90	LC06
A0A0E2AN37	LC14
A0A0E2APN5	LC04
A0A0E2AYA3	LC05
A0A0E2BUB5	LC05
A0A0E2D5T5	LC05
A0A0E2DYQ2	LC05
A0A0E2G922	LC23
A0A0E2GNR8	LC23
A0A0E2HFZ3	LC17
A0A0E2L3B9	LC19
A0A0E2LS03	LC00
A0A0E2N4F4	LC15
A0A0E2P934	LC15
A0A0E2UE63	LC00
A0A0E2W413	LC13
A0A0E2ZK47	LC20
A0A0E3B9R2	LC05
A0A0E3BZ95	LC32
A0A0E3C2Z0	LC32
A0A0E3GS60	LC25
A0A0E3H979	LC17
A0A0E3KZY9	LC17
A0A0E3L7E9	LC00
A0A0E3LIB8	LC17
A0A0E3LRF4	LC17
A0A0E3MLX0	LC12
A0A0E3NFL3	LC17
A0A0E3NMN2	LC17
A0A0E3P9K5	LC17
A0A0E3PIA9	LC17
A0A0E3PTW3	LC17
A0A0E3Q1R0	LC00
A0A0E3QHI3	LC17
A0A0E3QQK3	LC17
A0A0E3QZL0	LC17
A0A0E3RGB2	LC00
A0A0E3RJQ9	LC00
A0A0E3RSC8	LC36
A0A0E3S9V2	LC17
A0A0E3SED0	LC00
A0A0E3SPZ2	LC17
A0A0E3TU63	LC13
A0A0E3UPL1	LC07
A0A0E3UZQ2	LC03
A0A0E3V6J7	LC19
A0A0E3V806	LC19
A0A0E3WQP5	LC00
A0A0E3YU88	LC07
A0A0E3YVZ4	LC03
A0A0E3ZIC9	LC03
A0A0E3ZWR1	LC06
A0A0E4A5Z8	LC22
A0A0E4FP33	LC11
A0A0E4G0W7	LC33
A0A0E4GZR5	LC26
A0A0E4HAW8	LC04
A0A0E8XLP4	LC09
A0A0E9A984	LC00
A0A0E9LSD9	LC17
A0A0E9MB09	LC20
A0A0E9MN63	LC10
A0A0E9N4Z1	LC00
A0A0E9ZS13	LC31
A0A0F0CED9	LC08
A0A0F0CQP3	LC00
A0A0F0DKZ8	LC12
A0A0F0DXK1	LC32
A0A0F0FTI2	LC32
A0A0F0FV36	LC20
A0A0F0GVE3	LC01
A0A0F0H8X5	LC24
A0A0F0KKK0	LC24
A0A0F0KR02	LC24
A0A0F0KSU5	LC03
A0A0F0LAV9	LC24
A0A0F0LDK8	LC03
A0A0F0LWS2	LC26
A0A0F1BF51	LC09
A0A0F1DPQ1	LC40
A0A0F2C9D1	LC24
A0A0F2HZX3	LC09
A0A0F2KU61	LC10
A0A0F2ND63	LC01
A0A0F2NRL8	LC00
A0A0F2NVP2	LC06
A0A0F2P642	LC03
A0A0F2PSB1	LC15
A0A0F2QJ93	LC06
A0A0F2R2B5	LC12
A0A0F2REF6	LC06
A0A0F2RK21	LC10
A0A0F2RQY4	LC11
A0A0F2TMJ6	LC01
A0A0F3IPF7	LC05
A0A0F3IUR9	LC33
A0A0F3K9A4	LC31
A0A0F3KN27	LC05
A0A0F3L1M9	LC20
A0A0F3LJU8	LC02
A0A0F3RT12	LC25
A0A0F4ETQ4	LC00
A0A0F4FUJ0	LC15
A0A0F4INP8	LC41
A0A0F4J266	LC41
A0A0F4KTH5	LC13
A0A0F4KVW3	LC13
A0A0F4M011	LC13
A0A0F4NPI3	LC09
A0A0F4Q5I5	LC45
A0A0F4QKV2	LC45
A0A0F4R7P2	LC18
A0A0F4RLV4	LC33
A0A0F4TV25	LC12
A0A0F4TVW3	LC31
A0A0F4VAN2	LC31
A0A0F4VNA1	LC02
A0A0F4VPT3	LC02
A0A0F4VSQ9	LC02
A0A0F4XE39	LC12
A0A0F5ANZ9	LC19
A0A0F5FN60	LC07
A0A0F5FVA4	LC07
A0A0F5I299	LC08
A0A0F5J3S9	LC14
A0A0F5JCT4	LC14
A0A0F5JNW7	LC14
A0A0F5K2G9	LC29
A0A0F5L6T8	LC07
A0A0F5LMH3	LC07
A0A0F5MXQ0	LC46
A0A0F5P7V6	LC10
A0A0F5Q1L5	LC07
A0A0F5QE25	LC07
A0A0F5R2W2	LC03
A0A0F5RVJ1	LC17
A0A0F5VHD5	LC09
A0A0F5VKI6	LC01
A0A0F5XD59	LC06
A0A0F6A5Q9	LC19
A0A0F6ACN4	LC19
A0A0F6AQ64	LC06
A0A0F6B4Q7	LC19
A0A0F6G0G1	LC17
A0A0F6HEE9	LC05
A0A0F6IEE3	LC05
A0A0F6LGJ9	LC29
A0A0F6RFX5	LC19
A0A0F6RND0	LC37
A0A0F6TQY0	LC14
A0A0F6W311	LC14
A0A0F7CIW6	LC04
A0A0F7D0S0	LC09
A0A0F7FVD3	LC01
A0A0F7GDP9	LC02
A0A0F7HKJ3	LC06
A0A0F7JT21	LC00
A0A0F7K2B4	LC07
A0A0F7KJF6	LC14
A0A0F7KXK1	LC10
A0A0F7LNE7	LC09
A0A0F7M063	LC03
A0A0F7N8M3	LC24
