protid	UMAP1	UMAP2
A0A059W5Y6	-11.805761	-5.7643886
A0A059ZW80	-14.425501	10.930439
A0A060B9Q6	4.704395	16.190918
A0A060H0R4	-4.8498087	7.1228385
A0A060HDT2	-4.9707675	7.081042
A0A060HUT5	19.234964	3.7889478
A0A060JEL5	-6.716917	2.2000937
A0A060NNP6	6.58412	15.799895
A0A060NXF2	6.2861404	15.087295
A0A060PUX4	2.6437917	-10.975393
A0A060QAU9	-3.6655579	4.327656
A0A060RBM0	0.45787963	12.078749
A0A060UPC6	-14.477871	10.870187
A0A060ZRK9	-11.315716	-7.550871
A0A061JTR1	0.94425356	23.313807
A0A061M0A4	0.14461018	5.8762083
A0A061N500	3.9906216	8.623644
A0A061NZW2	-2.354626	5.127193
A0A061Q3A7	-4.6732073	-7.2365627
A0A061QEX7	6.9497795	-6.733431
A0A061SST7	14.726111	9.327647
A0A062BUZ9	-15.9729185	0.80997825
A0A062GRU3	-16.335865	0.29952723
A0A062IBL8	-18.04077	1.8286048
A0A062IR55	-17.884941	0.0025517573
A0A062N107	-18.291252	0.086205594
A0A062NCD9	-17.996735	1.7978958
A0A062UHM5	11.03724	3.0238225
A0A062UHQ4	11.006093	2.9808674
A0A062VNX9	11.090188	2.997897
A0A062VQY9	-9.85373	6.8778114
A0A062WZ20	1.6369392	2.7557425
A0A062XCY4	5.3531365	2.753286
A0A063BC52	-10.821218	17.33214
A0A063Y2Y2	2.9951067	16.840761
A0A064CCK9	-4.1481447	1.7682307
A0A066PW50	11.289614	5.4467587
A0A066RW25	-4.9383492	-8.744323
A0A066TCZ8	-0.6439612	7.2984776
A0A066TI79	-3.1512582	16.703579
A0A066U670	-8.578523	6.4891195
A0A066UKQ8	5.5653872	4.5637774
A0A066ULL6	-4.3562064	-7.179107
A0A066X093	-1.7518787	-5.931274
A0A066Z0E5	-12.801669	-3.1520202
A0A066ZVT0	5.421028	10.50617
A0A067LVG6	5.0181475	8.601802
A0A067W6P1	16.671135	4.697568
A0A067WLD7	16.94078	4.202345
A0A067Z632	-3.445434	4.6792645
A0A068D401	17.267105	3.4015505
A0A068FWW1	3.9645007	-0.75121456
A0A068N0C7	3.7180915	-2.2191744
A0A068NH06	-0.7915392	1.177548
A0A068NMS7	1.4316405	1.7639499
A0A068NW01	7.268587	-6.113814
A0A068QW72	-5.766706	-8.618574
A0A068R4Q5	-5.3071904	-8.799638
A0A068RA06	-7.26233	-8.045428
A0A068SND7	19.697777	4.9829683
A0A068T5S9	18.785496	4.6043954
A0A068YQL0	-2.1832185	9.58307
A0A068Z4G9	-6.3823557	-8.018265
A0A069CRL8	6.3202467	4.2025704
A0A069D3V9	-4.4453216	10.065411
A0A069DJM6	-3.2990012	10.932323
A0A069E231	11.152251	3.1275165
A0A069EUC2	-8.505249	6.071953
A0A069IGX1	7.184091	11.484121
A0A069IS22	1.3937573	-5.592427
A0A069JV81	-11.813979	-3.3584661
A0A069P9S5	-9.840245	16.380108
A0A069PRF1	-9.7387085	16.595406
A0A069RLP7	13.559222	3.7866354
A0A069RYT0	2.356396	5.100923
A0A069SLI8	0.04956363	7.6528077
A0A069ZL68	-3.4456935	-4.069005
A0A070A1V2	1.7687447	-4.981892
A0A071LNX0	-7.3658037	-7.7301593
A0A071MIV5	-11.053128	17.054976
A0A072D0X2	-17.21396	0.008639984
A0A072DDW4	-16.873562	1.9922638
A0A072MV38	-8.541115	-3.4929526
A0A072N0S6	-13.934531	12.036522
A0A072NJS8	4.85187	4.6422253
A0A072NTJ9	-1.7370625	-0.094880454
A0A073AUK2	0.17710797	10.152597
A0A073CJ14	3.4791822	-0.97053623
A0A073IHW0	15.331373	9.455294
A0A073J8D3	6.710145	-8.335923
A0A073JNK4	4.6140046	2.841002
A0A073K3G5	-1.4187393	-1.7061315
A0A073KHQ2	-2.8127172	-1.313464
A0A074J794	7.3401685	-0.8912536
A0A074JWZ2	7.3738084	-0.95396817
A0A074K8Q5	10.505286	-2.1093435
A0A074KV19	-0.5366563	3.3460968
A0A074LJR1	3.8246138	2.5227797
A0A074MDB2	-3.2354467	10.728298
A0A074MX74	-6.194304	6.1779532
A0A074TPD3	6.7859216	-0.59165794
A0A074TSX4	-10.073931	6.476686
A0A075JI52	-0.65728146	8.49357
A0A075K1Q8	2.4599268	18.778606
A0A075K5I5	-1.7072228	17.699781
A0A075KJ57	13.927048	4.0467687
A0A075LU76	6.385353	5.278226
A0A075NWU0	-4.542593	5.037838
A0A075UWS9	-4.987741	1.2531394
A0A076EH49	-4.291415	1.7442735
A0A076FB28	5.8892922	-1.338159
A0A076GZA2	-9.090935	2.7739534
A0A076HAR3	-8.835344	2.4103665
A0A076HF37	-8.977182	2.3708184
A0A076HUS6	5.0444303	4.8385577
A0A076HYR1	5.4645047	4.3659472
A0A076JEU9	-8.933744	-3.6954381
A0A076JJ88	-8.252	-3.017101
A0A076LNI0	-10.907205	9.433475
A0A076MUZ4	-8.629753	6.766891
A0A076NT25	7.3505754	2.6384954
A0A076PTA7	8.260413	13.392183
A0A076Q415	3.9311368	-0.58120275
A0A077EG85	3.1704006	10.693709
A0A077FFK4	3.004659	18.305998
A0A077JHG9	3.9264908	-2.4160392
A0A077KLJ5	-2.3610682	-9.943304
A0A077L1M3	-16.94064	2.0224051
A0A077L585	-16.996178	0.07914468
A0A077LCQ2	2.7492914	22.81248
A0A077LZ27	11.910306	11.943959
A0A077MCF0	11.870591	12.002409
A0A077MY94	-6.275032	-8.83631
A0A077NGB6	-6.076336	-7.9916687
A0A077NV28	-5.296615	-9.021769
A0A077NWX8	-6.205572	-8.256928
A0A077PJ50	-6.0257025	-8.451023
A0A077PQF1	-5.7314005	-8.599089
A0A077QIJ6	-5.3754926	-9.037156
A0A078BM74	5.0693293	9.694262
A0A078KQ68	-5.973556	11.708931
A0A078LSY8	2.1852798	23.25905
A0A078M4A8	-1.1691533	-1.4246762
A0A078M4E9	13.032134	1.0539305
A0A078MHN1	0.8363807	20.414598
A0A078MTZ0	-6.3935866	-2.2942607
A0A078R412	0.06181662	7.7405057
A0A078S119	8.781793	6.539997
A0A080IV52	-14.530712	5.351426
A0A080KMM1	-0.64116967	7.110576
A0A080MDA4	5.79426	10.700414
A0A080N681	-6.6222057	-1.5602423
A0A081B9D8	-6.2680197	6.387079
A0A081D0J9	19.188848	5.793639
A0A081DB59	4.566948	4.7320533
A0A081DE01	-4.11081	8.515713
A0A081DEG6	-11.736441	0.4723766
A0A081EXX7	-9.443996	5.907216
A0A081FYI5	2.95108	17.012568
A0A081GJY6	-8.861076	1.8442688
A0A081I6S3	2.194891	2.560724
A0A081J930	8.197123	13.380267
A0A081K739	-0.4941262	14.755359
A0A081N1T9	6.2387457	5.1401877
A0A081ND75	4.224767	3.1811934
A0A081NRU4	4.5201583	2.8485432
A0A081P4J8	3.6465254	15.74681
A0A081PIZ7	4.3497453	8.855311
A0A081PJM5	-0.56579167	-5.2659783
A0A081RD09	9.576343	-0.55921966
A0A081RTN9	-5.3530602	-8.830647
A0A081SF46	-4.048126	10.1626005
A0A081XVS1	-13.00439	-3.3002813
A0A083URH1	0.25140145	21.688883
A0A083XUK8	-8.865935	-3.7861977
A0A083YDV9	3.0366025	-11.134588
A0A084A4T1	-6.2674165	-8.455778
A0A084DJ96	-11.1194515	16.993816
A0A084EQX7	9.384854	-0.5717584
A0A084H315	0.659513	6.387329
A0A084IL58	-5.238217	10.479931
A0A084J3Q3	-1.4958515	-1.3335863
A0A084JQM7	0.7601252	11.886071
A0A084JW66	-4.0816674	8.302991
A0A084K053	5.5085044	2.8913913
A0A084SIC1	2.4615505	14.005596
A0A084SKD6	-5.7747283	11.054333
A0A084T9H0	-4.811039	-8.42746
A0A084THT0	-8.370649	12.040438
A0A084UBY8	19.049969	4.0736675
A0A084Y6C5	5.897895	10.702294
A0A085A8R8	-6.9298706	-8.844304
A0A085B118	-10.423072	13.1365795
A0A085B605	-2.4179287	-9.72866
A0A085B860	-2.440258	-9.462052
A0A085BAN2	3.985701	9.422609
A0A085EEH4	-1.6808026	-6.0314527
A0A085EQ97	1.5006708	12.7199545
A0A085EQY9	10.332345	9.314305
A0A085FLS7	-5.7154837	5.566051
A0A085G7R0	-1.8940016	-8.021235
A0A085G8A4	-5.8363204	-9.162969
A0A085HIS8	-11.209715	9.821825
A0A085JHU5	-7.3153653	-7.7861524
A0A085K3C4	9.429915	-0.52306086
A0A085U1N5	6.390707	-0.6590079
A0A085URX3	2.298868	23.04612
A0A085VR34	4.0854416	23.498611
A0A085W503	0.81284404	5.519661
A0A085WRJ2	-3.019748	14.086488
A0A085YXQ1	4.977444	3.743106
A0A085Z7J7	-1.978617	-10.16626
A0A085ZHI0	-2.0277944	-10.198605
A0A085ZVT9	-1.9562991	-4.9988537
A0A086A9T2	-0.9262828	-9.846952
A0A086AKE0	-0.92737967	-9.948633
A0A086B6Z2	-1.4918631	-10.270108
A0A086CIF9	3.8925161	-2.233627
A0A086D152	-4.597636	12.125986
A0A086E045	-5.9760036	3.45154
A0A086F125	-6.0873346	-6.859212
A0A086H500	-13.051693	-0.9038204
A0A086MIP3	9.513886	8.561141
A0A086MTE9	-11.934723	-4.409345
A0A086PB36	9.539197	-0.20938548
A0A086WEU7	1.5833932	12.213743
A0A086WUN5	-4.5936933	-7.2175794
A0A086Y974	7.49578	-0.9693984
A0A086YCC2	14.148326	7.7466035
A0A086Z2C3	-5.874898	-1.7513027
A0A086ZF35	-0.47163585	8.27278
A0A086ZLL1	-8.595468	-2.998694
A0A086ZN91	-8.805271	-3.8271942
A0A087A6P9	-8.72212	-3.0335596
A0A087AP72	-8.837799	-3.129274
A0A087AXJ5	-8.851341	-3.1035407
A0A087B2Q9	-8.817104	-3.168632
A0A087B9Q9	-8.914498	-3.8789563
A0A087BAT3	-8.529754	-3.0113428
A0A087BDH4	-8.587265	-2.9359574
A0A087BRA2	-7.200075	-2.6748595
A0A087C4M1	-6.693277	-1.6063956
A0A087CFB9	-8.66305	-3.3259394
A0A087CM88	-8.378954	-2.9665573
A0A087CVT9	-8.987066	-3.716279
A0A087CZ96	-8.792176	-3.9859114
A0A087DEC1	-8.8845005	-3.8191147
A0A087DJ82	-8.528833	-3.1799788
A0A087DLB0	-8.827186	-3.2205157
A0A087DN88	-8.837914	-3.1564407
A0A087E2W7	-8.64448	-2.9236922
A0A087E830	-8.56488	-2.8999422
A0A087E926	-8.669865	-3.227202
A0A087F8S1	4.468843	22.551771
A0A087K022	-11.820326	-3.0992877
A0A087KYB7	-7.306695	-8.390314
A0A087M6F3	-5.70387	5.5887284
A0A087MAR0	13.738573	5.1766744
A0A087MKM4	-4.6429853	6.939142
A0A087N3W8	-1.9535072	-0.5536967
A0A087N8G3	9.688478	-0.26916885
A0A087PLT3	0.81344986	10.696369
A0A087VVI0	-7.96578	-3.0592735
A0A088DA64	-18.286251	1.430211
A0A088F047	2.8199143	11.024863
A0A088F062	5.898878	0.5940142
A0A088N0V7	-0.82357174	1.1483691
A0A088U7Y5	-11.223426	16.378922
A0A089HME9	1.2721658	13.193237
A0A089JC51	1.3592589	13.034063
A0A089KEM8	1.2837309	13.192954
A0A089L1I8	1.9010615	12.347427
A0A089LAJ8	1.9423093	12.356306
A0A089LYC3	1.319181	13.117876
A0A089M9X2	2.2122192	12.102721
A0A089MR65	2.2800534	11.913726
A0A089NKL3	10.658694	9.313417
A0A089P8R4	-8.879862	2.5696697
A0A089PHQ3	2.6770556	1.160855
A0A089Q7L0	-6.3185415	-9.101278
A0A089WHG4	3.182453	17.667099
A0A089X5I6	-12.168213	0.2660511
A0A089YRF9	2.7720182	22.490116
A0A090AIP8	1.6657665	-3.7337875
A0A090BWD7	1.462033	4.19664
A0A090C1G8	-18.375393	1.3675512
A0A090EGL9	17.217613	3.8408682
A0A090EI97	20.056267	6.299983
A0A090FDT6	19.369993	4.3718715
A0A090FLS9	16.642326	3.9127333
A0A090GHF5	19.803532	4.959814
A0A090HW00	0.47807038	9.4022255
A0A090N7A0	11.512991	6.1422043
A0A090NJ96	-12.922843	5.8713617
A0A090PZY8	5.1580615	1.5035626
A0A090Q1Q7	3.8853202	6.764014
A0A090Q5Z1	3.8816843	6.445518
A0A090Q7K6	-2.9547055	4.6333084
A0A090Q9Y9	-4.1270056	8.4692745
A0A090QF11	-3.0479264	4.5401335
A0A090QFB7	-4.2505803	8.994337
A0A090QZI9	-3.545207	-7.5423017
A0A090S8H8	-3.8925467	-7.4894276
A0A090T7U2	-4.8792863	-8.665489
A0A090VQ13	-1.9394413	-7.9593277
A0A090WIW5	-8.057263	12.14685
A0A090WJB9	-11.731295	0.53156555
A0A090ZGG2	-1.9861422	-0.86155677
A0A090ZM35	3.4842288	3.0662947
A0A091AKF3	7.873962	-4.9379554
A0A091B0I3	-4.691467	7.001456
A0A091B9P6	-4.52437	7.0173655
A0A091BCW5	-4.536241	6.9788218
A0A091BT95	-4.4819713	6.968139
A0A093RIE3	-6.8289948	-8.798674
A0A094IUG8	-3.1019075	-8.374004
A0A094JDM0	-4.1302085	-9.062448
A0A094JWJ3	1.0211183	6.167837
A0A094P1D5	-0.1118571	2.054502
A0A094P4I8	-3.1412604	2.545564
A0A094PE81	-12.797901	-8.648722
A0A094PEC5	-0.26262274	2.148444
A0A094PGL5	-14.571454	-8.103597
A0A094RH19	-11.652586	-1.3125756
A0A094RJQ4	-11.707997	-1.4820882
A0A094S1N5	-1.9259504	-7.9852214
A0A094YXC1	-3.0501828	10.501559
A0A095B793	6.381656	-7.830566
A0A095CXR8	7.2471843	-7.979193
A0A095S8V5	-2.596307	6.989161
A0A095TS21	-2.7722933	6.979631
A0A095TZP7	7.7106276	2.832378
A0A095UDE7	-6.902572	-7.28335
A0A095V2R5	-0.13090824	14.816951
A0A095VCY8	18.584696	9.232587
A0A095WX48	1.5658718	1.9461563
A0A095XJM8	0.82145345	9.125847
A0A095XTA1	5.3940334	12.332003
A0A095Y9S3	-6.1651816	3.4608407
A0A095YBQ4	6.0500093	5.629819
A0A096AHX7	-3.807201	10.718503
A0A096H0W1	8.306286	13.429401
A0A096LLV0	-7.014772	2.6457698
A0A097EDE6	7.641494	-6.6168275
A0A097R4U9	-6.781956	-8.996358
A0A098AWE6	13.949392	3.568885
A0A098C0U3	-1.3006741	9.240602
A0A098EH89	1.2879723	6.199089
A0A098FU99	0.41464293	22.490108
A0A098G1B5	-3.998663	9.706741
A0A098GKR1	-6.1343617	11.56381
A0A098LFY8	-4.3216662	2.083289
A0A098M3Y7	2.6066523	12.007486
A0A098MZ47	-3.9246645	11.630844
A0A098Q112	-4.921837	7.1955233
A0A098QWY0	-1.1045625	0.8087749
A0A098RX08	19.710032	7.1011066
A0A098S4I1	4.29434	10.203943
A0A098S5E1	1.9427392	8.827021
A0A098T978	16.767414	4.190809
A0A098U7X4	-7.545111	9.252237
A0A098Y0W0	-0.53750056	4.628235
A0A099CW45	-1.8863935	16.993982
A0A099F7G7	7.1332574	-0.76436794
A0A099FGK8	6.991528	-0.7888153
A0A099JT31	-6.2168207	2.6324582
A0A099LT65	-4.891942	-7.5324945
A0A099N849	2.854444	18.73672
A0A099PFF1	3.1418972	16.842915
A0A099SFV8	-1.0763804	11.929915
A0A099TDK5	15.907492	9.349441
A0A099TUA3	5.828168	-0.35913414
A0A099TV54	13.264289	4.198594
A0A099UBW4	5.5805526	-0.4318846
A0A099YA15	4.0350504	2.21744
A0A0A0B207	1.6455147	1.8631227
A0A0A0BG23	-6.190243	10.593426
A0A0A0BTT2	2.2364845	2.2704506
A0A0A0BU82	1.6913795	2.046984
A0A0A0CUG7	-5.966602	-7.8027806
A0A0A0D016	14.13917	6.9214025
A0A0A0DMZ6	1.3029983	9.579454
A0A0A0EK28	15.915763	9.386984
A0A0A0ETI9	3.0735755	6.7533593
A0A0A0EZH9	3.0170164	6.6235056
A0A0A0F3M0	2.374914	6.75329
A0A0A0FCY4	-14.347524	5.6589556
A0A0A0HMG6	14.3727865	8.785212
A0A0A0JAY8	1.9568805	2.513365
A0A0A0JIL4	1.2217289	0.41743413
A0A0A0JWN0	1.3026863	0.52255005
A0A0A0M2P6	6.281922	8.206375
A0A0A0M878	2.438164	6.7925267
A0A0A0UHF9	-8.694785	-2.9653196
A0A0A1CXS7	-5.9777346	-2.732614
A0A0A1DRT7	-11.257035	-7.254973
A0A0A1FBY2	5.5046434	10.624521
A0A0A1FG39	-10.420094	17.057718
A0A0A1H9B0	8.454732	13.517742
A0A0A1I363	1.6021589	22.686056
A0A0A1MN06	-1.6643836	12.76458
A0A0A1PDJ6	9.312135	8.6483
A0A0A1VMA3	2.8084452	6.0849075
A0A0A1VVD4	-8.314427	0.8415975
A0A0A1W1Z4	7.898878	-6.551687
A0A0A1YML9	4.516538	21.966614
A0A0A1Z4T9	0.93041563	22.455153
A0A0A1ZC87	-8.861603	2.6393945
A0A0A1ZVL4	-8.835564	2.20089
A0A0A2A389	-8.853002	2.5984209
A0A0A2ABT5	-8.770954	2.6366599
A0A0A2AJS6	-8.797773	2.6515234
A0A0A2B3F5	-8.87142	2.603421
A0A0A2B9L9	-8.862964	2.4349096
A0A0A2BKN1	-8.900274	1.9971526
A0A0A2BMY1	-9.0583935	2.202011
A0A0A2C6V5	2.6952827	1.059777
A0A0A2CKH6	-9.012419	2.6665022
A0A0A2DQ35	2.6199353	3.9368038
A0A0A2DY55	-3.336401	-4.010729
A0A0A2E4A9	1.4556173	11.06357
A0A0A2EQS7	3.6167724	4.8912935
A0A0A2EYR6	4.161606	6.840017
A0A0A2F4X1	4.6343317	5.9277525
A0A0A2FFQ9	4.5705256	5.896485
A0A0A2GSW9	0.21449782	12.558444
A0A0A2GTU6	5.204234	1.6910331
A0A0A2I1H7	-0.34590596	3.018418
A0A0A2LW51	8.175854	2.7687693
A0A0A2MCR0	8.176355	2.8030448
A0A0A2MHG8	8.3328705	2.4742277
A0A0A2MI56	6.608745	3.2339904
A0A0A2MYU4	8.263394	2.6728885
A0A0A2RSH9	-0.6390816	1.5227159
A0A0A2SPN0	-3.1035202	16.915455
A0A0A2SQ61	9.418576	-3.7856123
A0A0A2T979	6.3696823	5.231576
A0A0A2TZR6	1.6833495	12.620274
A0A0A2UV78	-1.1782277	-1.7256845
A0A0A2WHT3	3.2948904	6.8092113
A0A0A2XFM1	-3.0317233	5.283779
A0A0A3B9S7	-3.1504192	5.3279395
A0A0A3HMW2	9.209053	-3.934212
A0A0A3ICH4	1.063242	6.19201
A0A0A3IV34	0.805692	6.3647137
A0A0A3J5Q3	9.33356	-3.9450624
A0A0A3JA58	0.96992207	6.287128
A0A0A3W1Y0	-16.990892	0.2562305
A0A0A3XR06	16.401827	5.718144
A0A0A3Z408	-6.543761	-8.701595
A0A0A5G833	-2.4362624	-0.5831176
A0A0A5GHI2	0.6546862	6.103514
A0A0A5HJB5	-1.2055908	-1.7137102
A0A0A5I046	-4.7034874	-7.2746243
A0A0A6DI82	3.2746832	22.443377
A0A0A6QLP9	-5.0109487	-9.0456
A0A0A6TKJ2	-5.1132874	7.0848255
A0A0A6UK66	-8.405222	7.505094
A0A0A6VMD9	-6.7310762	-1.7255149
A0A0A6YCV5	-6.387854	-2.9498909
A0A0A6YSU0	4.181302	9.712323
A0A0A6ZX14	-13.135066	5.385827
A0A0A7I4A6	-8.836509	-3.2573013
A0A0A7I5Z4	-9.026871	-3.267431
A0A0A7KC50	0.19974642	4.6345005
A0A0A7LAG4	10.781661	1.9876281
A0A0A7LNL8	7.748787	6.123016
A0A0A7PH11	7.1729345	-7.9378242
A0A0A7S2F6	2.4425814	9.222255
A0A0A8ELH1	-11.568567	-7.803189
A0A0A8F589	-2.0849693	16.842972
A0A0A8GXJ8	5.86659	-1.5210401
A0A0A8H4Y5	6.632274	-3.173138
A0A0A8HDQ7	5.932432	-2.534218
A0A0A8HVZ1	6.2876387	-2.5856926
A0A0A8K502	-6.1580772	5.9569216
A0A0A8RV30	-10.879054	12.914157
A0A0A8TMG2	-16.877607	2.0118942
A0A0A8TQR1	-17.335155	-0.04886048
A0A0A8UPE7	-5.914234	11.676589
A0A0A8VF34	-7.1609964	-7.1363997
A0A0A8XDH6	-16.97289	1.9485847
A0A0A8XG50	-17.379929	-0.15336315
A0A0B0D7R3	-6.233128	8.530175
A0A0B0HGA9	-0.48879412	16.701998
A0A0B0IH22	-1.9645091	-0.07173316
A0A0B0KN27	-18.110401	0.06560521
A0A0B0KRJ9	-17.544958	1.9940253
A0A0B0Q2Q3	13.860863	5.3343835
A0A0B1QBX7	11.712184	6.214041
A0A0B1R6M2	-6.617922	-6.901056
A0A0B1RHV1	-5.0121093	1.1859883
A0A0B1Y646	0.92168385	6.3548098
A0A0B1YGX6	7.3017406	11.574469
A0A0B1YNR4	-10.304149	16.402367
A0A0B1Z2Z2	3.648932	24.367132
A0A0B1ZN95	6.9227214	-6.3584476
A0A0B2A3S5	-10.627701	7.1909213
A0A0B2AJ05	-6.1582623	-2.8184876
A0A0B2BZD8	7.9706817	-8.087253
A0A0B2CSL6	-5.160201	7.3256702
A0A0B2DUI1	1.437926	-12.595145
A0A0B2DZS1	2.0081549	-12.346662
A0A0B2ECN4	1.0866386	-11.621143
A0A0B2EG07	4.00038	-12.6203
A0A0B2EGE0	1.9669108	-12.650462
A0A0B2EL32	3.7995892	-12.459747
A0A0B2ES65	3.6609304	-12.380059
A0A0B2EUW9	3.4379423	-12.346247
A0A0B2F0I0	2.1706398	-11.2965555
A0A0B2FDE3	2.1460896	12.29002
A0A0B2Y0Q3	-4.6786575	1.4025469
A0A0B2YPY6	-4.2379045	1.6609099
A0A0B3BN32	-0.27448025	10.215856
A0A0B3RKF5	14.712287	8.334136
A0A0B3Y7W7	-4.186118	5.2771115
A0A0B4CFU1	7.737651	-8.103967
A0A0B4CMJ5	-6.414716	-2.887996
A0A0B4CX78	1.9096463	-5.5019507
A0A0B4D772	-9.872257	7.076939
A0A0B4D9Z0	-0.98804075	-9.941844
A0A0B4RFM5	1.2865599	6.0306
A0A0B4WYH1	18.765833	4.805567
A0A0B4XFK2	1.500193	-3.03115
A0A0B4XW70	10.487789	-2.070603
A0A0B5AKM3	-2.8813837	4.4144216
A0A0B5BDC4	7.116941	8.526951
A0A0B5CMT7	-2.084506	16.737417
A0A0B5DDS6	-12.269515	-8.292734
A0A0B5F286	-4.5266967	14.523503
A0A0B5H4R0	6.1432204	5.151197
A0A0B5I9M6	-12.043227	-4.42891
A0A0B5QS71	6.8422823	-6.280521
A0A0B5S188	8.0764675	2.6007254
A0A0B5SCJ1	-1.5921646	-1.7185936
A0A0B6AM55	2.569544	3.7748861
A0A0B6BU64	-2.1116223	-1.1665775
A0A0B6RKC3	-9.424298	16.31472
A0A0B6XAL8	-5.9981675	-8.637052
A0A0B7DG57	2.5403023	23.0494
A0A0B7GVB7	3.5716531	12.28889
