protid	tSNE1	tSNE2
A0A087A6P9	37.21607	-34.087215
A0A087AP72	36.488792	-34.20458
A0A087AXJ5	37.100677	-35.647816
A0A087B2Q9	37.30876	-36.015312
A0A087B9Q9	40.485386	-39.67929
A0A087BAT3	37.633095	-32.357304
A0A087BDH4	38.44792	-34.105408
A0A087BRA2	41.697594	-19.674526
A0A087C4M1	42.252857	-24.253153
A0A087CFB9	35.43036	-35.043213
A0A087CM88	38.187946	-31.91797
A0A087CVT9	38.207924	-38.6066
A0A087CZ96	41.894855	-39.364265
A0A087DEC1	38.99711	-39.447525
A0A087DJ82	40.311905	-31.857328
A0A087DLB0	38.207394	-35.435402
A0A087DN88	37.13099	-35.738388
A0A087E2W7	37.12577	-33.076553
A0A087E830	37.984623	-31.64396
A0A087E926	39.633347	-33.97882
A0A087F8S1	140.22246	18.066288
A0A087K022	-29.378054	-100.80903
A0A087KYB7	-22.685823	141.48535
A0A087M6F3	-11.443401	-44.11018
A0A087MAR0	3.5408723	-78.774
A0A087MKM4	-1.7026973	-49.871418
A0A087N3W8	40.609627	111.47363
A0A087N8G3	-30.930912	39.28914
A0A087PLT3	71.91035	-48.542152
A0A087VVI0	40.508675	-30.594833
A0A088DA64	-89.14736	-73.998116
A0A088F047	62.433205	17.583815
A0A088F062	-6.328621	19.143818
A0A088N0V7	37.290585	97.91733
A0A088U7Y5	125.50119	-38.06454
A0A089HME9	61.69101	-41.92418
A0A089JC51	62.07706	-42.054874
A0A089KEM8	62.058876	-41.63441
A0A089L1I8	65.502075	-38.02858
A0A089LAJ8	65.42973	-38.14814
A0A089LYC3	61.81654	-41.65339
A0A089M9X2	66.30999	-36.950203
A0A089MR65	66.79719	-35.89427
A0A089NKL3	46.564316	-71.27903
A0A089P8R4	-127.276855	-38.39216
A0A089PHQ3	-1.2035416	-14.703132
A0A089Q7L0	-16.363537	140.0954
A0A089WHG4	93.15366	47.37422
A0A089X5I6	-26.88427	-74.72199
A0A089YRF9	130.40216	24.39653
A0A090AIP8	-89.491806	78.66034
A0A090BWD7	40.713524	75.26868
A0A090C1G8	-89.3685	-74.0209
A0A090EGL9	-9.176649	-130.33328
A0A090EI97	-15.868933	-147.66197
A0A090FDT6	-11.63879	-141.69676
A0A090FLS9	-6.593666	-130.4292
A0A090GHF5	-12.673735	-143.2061
A0A090HW00	84.65627	-78.51731
A0A090N7A0	-46.576786	-28.412432
A0A090NJ96	74.00903	80.57588
A0A090PZY8	9.061348	61.502014
A0A090Q1Q7	28.380987	23.894667
A0A090Q5Z1	28.459835	23.998022
A0A090Q7K6	-50.60442	-74.35577
A0A090Q9Y9	-27.651611	70.593765
A0A090QF11	-50.63571	-74.4264
A0A090QFB7	-28.92018	69.21794
A0A090QZI9	5.0305104	134.37224
A0A090S8H8	4.581476	134.42577
A0A090T7U2	-5.2707644	142.59956
A0A090VQ13	-12.957032	114.71822
A0A090WIW5	-57.801956	-43.26558
A0A090WJB9	-24.282192	-71.9615
A0A090ZGG2	35.992977	126.64737
A0A090ZM35	2.4909778	3.7297854
A0A091AKF3	-20.001638	-2.824822
A0A091B0I3	-0.7284269	-51.797367
A0A091B9P6	0.13455471	-50.919277
A0A091BCW5	-1.1012033	-51.23201
A0A091BT95	0.18340649	-51.055546
A0A093RIE3	-20.280176	139.35489
A0A094IUG8	1.3948234	133.86433
A0A094JDM0	-4.68145	136.12225
A0A094JWJ3	-1.1038467	99.45767
A0A094P1D5	-20.005878	-61.637653
A0A094P4I8	-118.24018	-19.010622
A0A094PE81	-67.70822	-107.57737
A0A094PEC5	-19.564537	-62.15443
A0A094PGL5	-76.30098	-106.352196
A0A094RH19	-15.725904	-85.58919
A0A094RJQ4	-16.028833	-85.95188
A0A094S1N5	-12.164218	112.60135
A0A094YXC1	-48.57844	52.396988
A0A095B793	-44.521523	-0.5194224
A0A095CXR8	-41.36131	4.6032324
A0A095S8V5	-42.539276	-56.86705
A0A095TS21	-41.703934	-56.988216
A0A095TZP7	-9.128761	44.153107
A0A095UDE7	-31.936602	142.02333
A0A095V2R5	136.17305	-7.6091137
A0A095VCY8	-27.805054	-147.94897
A0A095WX48	7.440336	-14.894118
A0A095XJM8	83.63278	-77.82201
A0A095XTA1	73.55794	20.168324
A0A095Y9S3	-104.683205	2.0745928
A0A095YBQ4	38.39811	45.600513
A0A096AHX7	-56.05906	46.29605
A0A096H0W1	44.751175	5.1282873
A0A096LLV0	-109.105995	6.813558
A0A097EDE6	-39.27998	-10.991822
A0A097R4U9	-18.922075	138.63995
A0A098AWE6	1.1932825	-72.433784
A0A098C0U3	-33.428223	54.99816
A0A098EH89	-2.3229463	98.715416
A0A098FU99	121.34266	37.963562
A0A098G1B5	-62.22558	43.029297
A0A098GKR1	-48.66074	77.49226
A0A098LFY8	-121.10614	-12.687696
A0A098M3Y7	66.568054	-36.78357
A0A098MZ47	-56.20586	58.612904
A0A098Q112	0.77412975	-47.865536
A0A098QWY0	39.44495	101.15676
A0A098RX08	-19.04961	-147.78223
A0A098S4I1	35.634583	29.13139
A0A098S5E1	70.70561	-67.48779
A0A098T978	-8.993338	-124.04975
A0A098U7X4	-18.958815	60.14194
A0A098Y0W0	9.3081	108.75759
A0A099CW45	95.88412	10.7493925
A0A099F7G7	-14.725796	25.252785
A0A099FGK8	-14.535982	24.361914
A0A099JT31	-110.650955	0.777453
A0A099LT65	-2.1604908	147.99413
A0A099N849	98.46271	47.894955
A0A099PFF1	88.4502	43.82721
A0A099SFV8	95.88205	-57.312775
A0A099TDK5	22.403946	-136.16301
A0A099TUA3	-12.180668	16.587881
A0A099TV54	7.136517	-78.66367
A0A099UBW4	-12.519739	15.64235
A0A099YA15	20.531301	60.783257
A0A0A0B207	5.8015676	-11.805198
A0A0A0BG23	-42.3179	75.99334
A0A0A0BTT2	9.354931	-6.67043
A0A0A0BU82	5.7384257	-10.903769
A0A0A0CUG7	-14.884475	145.63454
A0A0A0D016	11.440606	-120.57107
A0A0A0DMZ6	75.29315	-60.036777
A0A0A0EK28	22.766562	-136.03075
A0A0A0ETI9	21.3333	-45.99289
A0A0A0EZH9	20.986662	-45.208096
A0A0A0F3M0	17.930037	-43.64577
A0A0A0FCY4	64.663376	90.41541
A0A0A0HMG6	19.6379	-129.46426
A0A0A0JAY8	10.729793	-4.019227
A0A0A0JIL4	18.996384	-14.295049
A0A0A0JWN0	18.926413	-14.30408
A0A0A0M2P6	19.032726	-59.71284
A0A0A0M878	18.010643	-43.9552
A0A0A0UHF9	37.731987	-32.67971
A0A0A1CXS7	48.74314	-15.054288
A0A0A1DRT7	-56.38657	-110.85962
A0A0A1FBY2	91.4962	-13.563345
A0A0A1FG39	130.07452	-27.406786
A0A0A1H9B0	43.716984	4.491505
A0A0A1I363	125.60377	32.316566
A0A0A1MN06	100.94049	-67.0819
A0A0A1PDJ6	45.42137	-60.9017
A0A0A1VMA3	25.319576	18.33999
A0A0A1VVD4	-138.70854	-30.942028
A0A0A1W1Z4	-38.177452	-11.46266
A0A0A1YML9	140.39134	14.612671
A0A0A1Z4T9	123.42799	34.675804
A0A0A1ZC87	-127.337135	-38.304
A0A0A1ZVL4	-128.14197	-38.14593
A0A0A2A389	-126.91325	-38.34784
A0A0A2ABT5	-126.58714	-38.21162
A0A0A2AJS6	-126.962715	-38.44382
A0A0A2B3F5	-127.36335	-38.325924
A0A0A2B9L9	-127.70215	-38.224712
A0A0A2BKN1	-130.2383	-39.336586
A0A0A2BMY1	-130.05865	-41.328175
A0A0A2C6V5	-1.2097238	-14.709038
A0A0A2CKH6	-126.832664	-40.13928
A0A0A2DQ35	31.530653	69.6688
A0A0A2DY55	-114.32121	73.47089
A0A0A2E4A9	84.24642	-37.780037
A0A0A2EQS7	18.508287	27.176796
A0A0A2EYR6	29.118584	9.854581
A0A0A2F4X1	12.572719	34.807514
A0A0A2FFQ9	12.562867	34.819523
A0A0A2GSW9	94.46538	-40.52294
A0A0A2GTU6	8.117293	60.52913
A0A0A2I1H7	-27.176737	-59.812634
A0A0A2LW51	-12.8876915	40.704666
A0A0A2MCR0	-12.817729	46.094383
A0A0A2MHG8	-17.153069	43.689224
A0A0A2MI56	-1.1188272	38.602543
A0A0A2MYU4	-13.336331	45.731636
A0A0A2RSH9	40.93161	95.10493
A0A0A2SPN0	101.84211	4.9228034
A0A0A2SQ61	-84.61149	3.0835066
A0A0A2T979	33.83706	43.013626
A0A0A2TZR6	64.05462	-39.707096
A0A0A2UV78	35.925526	134.95088
A0A0A2WHT3	22.915249	-45.868736
A0A0A2XFM1	-88.0474	19.357191
A0A0A3B9S7	-88.15976	19.360855
A0A0A3HMW2	-85.98017	2.9696977
A0A0A3ICH4	-1.7777752	99.029915
A0A0A3IV34	-1.6606158	101.61846
A0A0A3J5Q3	-85.316666	3.007937
A0A0A3JA58	-1.8722124	100.00817
A0A0A3W1Y0	-91.8115	-58.130707
A0A0A3XR06	-4.9949965	-118.85362
A0A0A3Z408	-18.255674	142.56062
A0A0A5G833	31.63954	123.28961
A0A0A5GHI2	-0.80135614	103.10594
A0A0A5HJB5	35.95545	135.31256
A0A0A5I046	-0.69191206	149.41936
A0A0A6DI82	134.17749	21.068768
A0A0A6QLP9	-7.4386277	140.41428
A0A0A6TKJ2	0.641602	-46.37862
A0A0A6UK66	-117.89635	25.192339
A0A0A6VMD9	42.27895	-24.292164
A0A0A6YCV5	49.701298	-20.743504
A0A0A6YSU0	38.152424	26.64932
A0A0A6ZX14	69.51382	80.742836
A0A0A7I4A6	39.29259	-34.754467
A0A0A7I5Z4	37.163216	-36.445812
A0A0A7KC50	10.292753	97.68602
A0A0A7LAG4	-77.90308	-14.756453
A0A0A7LNL8	-64.516335	17.49525
A0A0A7PH11	-40.692463	4.465456
A0A0A7S2F6	71.27068	-62.44896
A0A0A8ELH1	-59.827885	-110.84805
A0A0A8F589	96.48021	8.683557
A0A0A8GXJ8	-21.548262	15.347524
A0A0A8H4Y5	-31.586445	17.466335
A0A0A8HDQ7	-26.287973	14.669601
A0A0A8HVZ1	-26.794468	16.09552
A0A0A8K502	-15.323361	-42.979424
A0A0A8RV30	-138.47092	48.849113
A0A0A8TMG2	-81.60214	-82.255905
A0A0A8TQR1	-89.55744	-59.62165
A0A0A8UPE7	-51.082294	77.733665
A0A0A8VF34	-31.054644	139.79344
A0A0A8XDH6	-80.10275	-81.34905
A0A0A8XG50	-88.728516	-59.507633
A0A0B0D7R3	-76.541084	38.614674
A0A0B0HGA9	89.14803	18.227665
A0A0B0IH22	41.41656	109.79157
A0A0B0KN27	-86.52517	-62.387287
A0A0B0KRJ9	-83.410286	-77.50774
A0A0B0Q2Q3	3.0984993	-79.17774
A0A0B1QBX7	-45.656776	-27.001263
A0A0B1R6M2	-33.946674	142.46545
A0A0B1RHV1	-125.87326	-2.8741586
A0A0B1Y646	-1.928504	100.79169
A0A0B1YGX6	101.00936	-17.362549
A0A0B1YNR4	124.07811	-32.831585
A0A0B1Z2Z2	142.67654	30.197285
A0A0B1ZN95	-31.449831	4.4917684
A0A0B2A3S5	-128.16428	20.466137
A0A0B2AJ05	49.251038	-15.26778
A0A0B2BZD8	-38.669563	-1.1758558
A0A0B2CSL6	1.3947902	-47.161148
A0A0B2DUI1	22.098972	-88.25721
A0A0B2DZS1	25.091877	-91.755424
A0A0B2ECN4	16.985315	-92.7493
A0A0B2EG07	37.97736	-98.5537
A0A0B2EGE0	26.532824	-91.28622
A0A0B2EL32	37.355705	-102.16863
A0A0B2ES65	36.274506	-97.38997
A0A0B2EUW9	35.291916	-97.420334
A0A0B2F0I0	19.562836	-97.95148
A0A0B2FDE3	65.90858	-37.571907
A0A0B2Y0Q3	-125.69076	-6.1485715
A0A0B2YPY6	-124.78419	-9.355682
A0A0B3BN32	81.58821	-53.710957
A0A0B3RKF5	13.961508	-129.64006
A0A0B3Y7W7	-79.46592	19.293602
A0A0B4CFU1	-39.2234	0.07296541
A0A0B4CMJ5	48.30498	-19.441778
A0A0B4CX78	-99.75958	59.09538
A0A0B4D772	-127.410385	24.310007
A0A0B4D9Z0	-20.236738	81.290184
A0A0B4RFM5	-2.4415178	97.04743
A0A0B4WYH1	-18.314705	-131.63272
A0A0B4XFK2	-85.88519	74.533554
A0A0B4XW70	-41.470493	36.859913
A0A0B5AKM3	-51.360603	-74.90831
A0A0B5BDC4	26.062792	-62.65953
A0A0B5CMT7	94.31093	9.526638
A0A0B5DDS6	-64.763	-108.46882
A0A0B5F286	89.63202	-82.8209
A0A0B5H4R0	35.035625	47.157616
A0A0B5I9M6	-39.158688	-104.16745
A0A0B5QS71	-29.405031	-0.44899255
A0A0B5S188	-11.9976425	45.899967
A0A0B5SCJ1	35.01675	133.77812
A0A0B6AM55	30.163948	69.95014
A0A0B6BU64	33.518074	129.11583
A0A0B6RKC3	119.784424	-24.324137
A0A0B6XAL8	-14.310038	142.78662
A0A0B7DG57	132.0226	27.67141
A0A0B7GVB7	61.873203	30.365976
A0A0B7HDW3	42.566593	26.97467
A0A0B7HLK5	42.285507	26.443737
A0A0B7HPF0	38.99013	25.905521
A0A0B7IIH5	42.537853	26.623047
A0A0B7IIY7	41.145027	25.905283
A0A0B7IKC6	41.703964	26.129276
A0A0B7IRQ3	42.461914	26.597
A0A0B7IXE8	99.73641	13.640871
A0A0B7JFQ5	-77.80228	60.21086
A0A0B7NZY3	-138.09483	48.03662
A0A0B8NAL5	17.583227	-2.4432926
A0A0B8PH45	-3.138264	146.24966
A0A0B8Q9S8	-0.74461454	150.13582
A0A0B8QG62	-4.777786	143.85762
A0A0B8T612	60.338474	13.952674
A0A0B8WCA2	-24.851097	-74.06776
